Title:               Equifax Subprime Credit Population for Hoke County, NC
Series ID:           EQFXSUBPRIME037093
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  48.764513247990470
1999-04-01  48.790078644888080
1999-07-01  48.560930802204530
1999-10-01  48.820383768480650
2000-01-01  50.528935905413820
2000-04-01  50.358814352574100
2000-07-01  50.918398072869620
2000-10-01  49.830604178430264
2001-01-01  50.199089874857790
2001-04-01  49.418266433973240
2001-07-01  49.289368959636160
2001-10-01  48.069022185702550
2002-01-01  48.300244764753880
2002-04-01  47.905830823980290
2002-07-01  48.130212536992204
2002-10-01  47.771213748657360
2003-01-01  48.325743369943744
2003-04-01  48.070739549839230
2003-07-01  48.860021208907740
2003-10-01  47.778345250255360
2004-01-01  48.668796592119270
2004-04-01  47.387387387387385
2004-07-01  47.347447073474470
2004-10-01  45.942692029857940
2005-01-01  45.607388112716080
2005-04-01  46.004784688995215
2005-07-01  46.466602129719260
2005-10-01  46.530228181604330
2006-01-01  46.446818392940080
2006-04-01  45.633738253495300
2006-07-01  45.955798587377540
2006-10-01  46.017495395948430
2007-01-01  46.138165345413360
2007-04-01  45.650708024275120
2007-07-01  46.335375538915365
2007-10-01  47.394718058529620
2008-01-01  49.887640449438200
2008-04-01  49.949238578680200
2008-07-01  49.516539440203560
2008-10-01  49.937201708113540
2009-01-01  49.389002036659880
2009-04-01  48.839556004036325
2009-07-01  49.072216649949850
2009-10-01  48.610086100861010
2010-01-01  47.948591201186360
2010-04-01  48.072618751554344
2010-07-01  48.131868131868130
2010-10-01  48.175530646315290
2011-01-01  47.806171648987460
2011-04-01  47.116535056233550
2011-07-01  48.034515819750716
2011-10-01  47.708634828750604
2012-01-01  47.801932367149760
2012-04-01  47.025089605734760
2012-07-01  47.743638982237160
2012-10-01  47.948473282442750
2013-01-01  46.683497819600646
2013-04-01  45.643607705779330
2013-07-01  45.666666666666664
2013-10-01  45.256383641270496
2014-01-01  44.851444851444846
2014-04-01  43.821155040364310
2014-07-01  43.812846295916270
2014-10-01  44.344163658243080
2015-01-01  43.580075411788060
2015-04-01  43.176909483604945
2015-07-01  42.971966281121350
2015-10-01  43.615974818020850
2016-01-01  43.053375196232340
2016-04-01  42.355250245338570
2016-07-01  42.084942084942085
2016-10-01  43.048640367675226
2017-01-01  42.537313432835820
2017-04-01  42.762158054711250
2017-07-01  41.893176202242920
2017-10-01  41.877256317689530
2018-01-01  40.939216057564856
2018-04-01  40.929619872036135
2018-07-01  41.356632844795186
