Title:               Equifax Subprime Credit Population for Craven County, NC
Series ID:           EQFXSUBPRIME037049
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  44.093939695492090
1999-04-01  43.872647176611935
1999-07-01  42.263115087433920
1999-10-01  43.012183884509060
2000-01-01  43.267108167770420
2000-04-01  42.712268840723800
2000-07-01  43.824738415545590
2000-10-01  40.894396551724135
2001-01-01  41.472903284176240
2001-04-01  40.288568257491676
2001-07-01  40.381968341362700
2001-10-01  40.194894791307350
2002-01-01  39.896951481322450
2002-04-01  39.598329334399715
2002-07-01  40.794373189904846
2002-10-01  40.761366469952620
2003-01-01  40.960595298494840
2003-04-01  40.163794574304730
2003-07-01  40.599779118171780
2003-10-01  40.743576654755830
2004-01-01  40.799240462627310
2004-04-01  40.210398191618850
2004-07-01  40.100837309804625
2004-10-01  38.917225950783000
2005-01-01  38.139534883720934
2005-04-01  37.677849991217286
2005-07-01  37.670183031286630
2005-10-01  38.220596109227200
2006-01-01  37.969314079422380
2006-04-01  37.568465475442220
2006-07-01  37.481152993348120
2006-10-01  37.981250568854100
2007-01-01  36.880927291886195
2007-04-01  35.734048071934980
2007-07-01  35.625546806649170
2007-10-01  35.925170671158790
2008-01-01  36.985915492957744
2008-04-01  36.558527793587550
2008-07-01  36.331037085967730
2008-10-01  36.634132474177960
2009-01-01  36.320076665069480
2009-04-01  36.083565995956484
2009-07-01  35.989170373235350
2009-10-01  36.717557251908396
2010-01-01  36.249638275296610
2010-04-01  35.912083656080554
2010-07-01  36.217765042979940
2010-10-01  36.633475580844000
2011-01-01  36.391986391986390
2011-04-01  36.269380766669840
2011-07-01  36.244211322181270
2011-10-01  36.190746522849840
2012-01-01  35.326803541156530
2012-04-01  34.603587694023610
2012-07-01  34.796354844708944
2012-10-01  34.866220735785950
2013-01-01  33.300234699404220
2013-04-01  32.738095238095240
2013-07-01  32.886080332409975
2013-10-01  32.721999488185620
2014-01-01  31.666666666666664
2014-04-01  31.413391803002195
2014-07-01  31.635455680399500
2014-10-01  32.521868295098200
2015-01-01  31.937602627257800
2015-04-01  31.438896189224703
2015-07-01  31.471623945622802
2015-10-01  31.731244847485574
2016-01-01  31.282765399737876
2016-04-01  31.014421501147165
2016-07-01  30.573351715189360
2016-10-01  30.440749112043914
2017-01-01  30.135102337998543
2017-04-01  30.077682472892054
2017-07-01  30.069246435845216
2017-10-01  30.661257606490870
2018-01-01  30.092327804559194
2018-04-01  29.774778437271323
2018-07-01  29.637423114276462
