Title:               Average Weekly Wages for Employees in Federal Government Establishments in Raleigh-Cary, NC (MSA)
Series ID:           ENUC395840110
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   678
1990-04-01   574
1990-07-01   683
1990-10-01   702
1991-01-01   736
1991-04-01   690
1991-07-01   737
1991-10-01   719
1992-01-01   787
1992-04-01   723
1992-07-01   779
1992-10-01   832
1993-01-01   779
1993-04-01   739
1993-07-01   823
1993-10-01   815
1994-01-01   777
1994-04-01   741
1994-07-01   842
1994-10-01   846
1995-01-01   810
1995-04-01   753
1995-07-01   781
1995-10-01   840
1996-01-01   814
1996-04-01   825
1996-07-01   804
1996-10-01   881
1997-01-01   801
1997-04-01   826
1997-07-01   809
1997-10-01   868
1998-01-01   813
1998-04-01   874
1998-07-01   824
1998-10-01   907
1999-01-01   822
1999-04-01   896
1999-07-01   836
1999-10-01   921
2000-01-01   915
2000-04-01   817
2000-07-01   860
2000-10-01   910
2001-01-01   980
2001-04-01   947
2001-07-01   944
2001-10-01   942
2002-01-01   973
2002-04-01   994
2002-07-01   975
2002-10-01   991
2003-01-01  1016
2003-04-01   996
2003-07-01  1034
2003-10-01  1006
2004-01-01  1098
2004-04-01  1053
2004-07-01  1115
2004-10-01  1103
2005-01-01  1108
2005-04-01  1130
2005-07-01  1079
2005-10-01  1113
2006-01-01  1117
2006-04-01  1136
2006-07-01  1208
2006-10-01  1180
2007-01-01  1159
2007-04-01  1270
2007-07-01  1163
2007-10-01  1329
2008-01-01  1157
2008-04-01  1276
2008-07-01  1132
2008-10-01  1355
2009-01-01  1167
2009-04-01  1240
2009-07-01  1211
2009-10-01  1361
2010-01-01  1174
2010-04-01  1227
2010-07-01  1174
2010-10-01  1420
2011-01-01  1225
2011-04-01  1419
2011-07-01  1320
2011-10-01  1357
2012-01-01  1336
2012-04-01  1308
2012-07-01  1332
2012-10-01  1354
2013-01-01  1345
2013-04-01  1310
2013-07-01  1375
2013-10-01  1272
2014-01-01  1445
2014-04-01  1280
2014-07-01  1436
2014-10-01  1311
2015-01-01  1477
2015-04-01  1293
2015-07-01  1482
2015-10-01  1475
2016-01-01  1428
2016-04-01  1280
2016-07-01  1497
2016-10-01  1466
2017-01-01  1422
2017-04-01  1380
2017-07-01  1388
2017-10-01  1459
2018-01-01  1426
