Title:               Equifax Subprime Credit Population for Duplin County, NC
Series ID:           EQFXSUBPRIME037061
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  42.749244712990940
1999-04-01  43.416729845842810
1999-07-01  42.812982998454410
1999-10-01  43.714580113343640
2000-01-01  44.074675324675320
2000-04-01  42.086049543676666
2000-07-01  43.540051679586560
2000-10-01  41.399559579153410
2001-01-01  42.999762300927024
2001-04-01  42.044134727061554
2001-07-01  42.725598526703500
2001-10-01  42.819207789333920
2002-01-01  42.636165577342050
2002-04-01  42.542039746669580
2002-07-01  42.664382094666955
2002-10-01  42.367139529959770
2003-01-01  41.988719448506370
2003-04-01  42.136624813790170
2003-07-01  41.758014477766290
2003-10-01  41.381393475634310
2004-01-01  43.026397838287250
2004-04-01  41.699319447308724
2004-07-01  40.818833162743090
2004-10-01  41.264016309887870
2005-01-01  41.526964249646540
2005-04-01  39.475743348982780
2005-07-01  39.319066147859920
2005-10-01  39.984101748807630
2006-01-01  40.356142456982790
2006-04-01  39.408675354989306
2006-07-01  39.475241665022686
2006-10-01  39.865689865689866
2007-01-01  39.317447495961225
2007-04-01  39.221196306704140
2007-07-01  38.960772232491270
2007-10-01  40.158322635857935
2008-01-01  43.881856540084390
2008-04-01  43.402529229300880
2008-07-01  42.561692126909520
2008-10-01  43.171597633136095
2009-01-01  42.767295597484280
2009-04-01  42.937028932652570
2009-07-01  42.654142581888250
2009-10-01  42.750559562297940
2010-01-01  43.218218218218220
2010-04-01  42.370744010088270
2010-07-01  41.716867469879520
2010-10-01  42.620897018291150
2011-01-01  41.780992766275880
2011-04-01  42.106567534076830
2011-07-01  42.128935532233880
2011-10-01  42.692404111306090
2012-01-01  42.436446010571350
2012-04-01  41.610062893081760
2012-07-01  41.926559356136820
2012-10-01  41.540020263424520
2013-01-01  40.879881364310430
2013-04-01  38.574473123372010
2013-07-01  38.903683976919660
2013-10-01  38.813082087935890
2014-01-01  38.601758524555010
2014-04-01  38.287803828780380
2014-07-01  37.855437377903186
2014-10-01  37.837837837837840
2015-01-01  36.962393517556620
2015-04-01  36.565445026178010
2015-07-01  37.651230705047980
2015-10-01  37.699077954735960
2016-01-01  36.891385767790260
2016-04-01  36.571310969335250
2016-07-01  35.341830822711470
2016-10-01  35.409390764454790
2017-01-01  35.668542596545700
2017-04-01  35.110507948817370
2017-07-01  35.313595636930266
2017-10-01  34.675701839303000
2018-01-01  34.597994888932570
2018-04-01  34.420719652036380
2018-07-01  34.917840375586856
