Title:               Equifax Subprime Credit Population for Stokes County, NC
Series ID:           EQFXSUBPRIME037169
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  34.203258768296050
1999-04-01  33.761251291131770
1999-07-01  33.188450791679600
1999-10-01  32.944845699277740
2000-01-01  33.409893992932860
2000-04-01  33.024354780079975
2000-07-01  32.686928957672950
2000-10-01  29.887720548921760
2001-01-01  30.797233345467784
2001-04-01  30.141202027516297
2001-07-01  30.344440284537626
2001-10-01  29.364352445502840
2002-01-01  31.875626880641928
2002-04-01  31.358885017421600
2002-07-01  31.871046725158130
2002-10-01  31.928213689482472
2003-01-01  32.986111111111110
2003-04-01  33.067552602436320
2003-07-01  33.945796968305010
2003-10-01  34.399818470614930
2004-01-01  35.512732278045420
2004-04-01  33.797127468581690
2004-07-01  33.230633802816900
2004-10-01  33.325897836270360
2005-01-01  33.721441124780310
2005-04-01  33.897559903275440
2005-07-01  35.044843049327355
2005-10-01  34.680430485394250
2006-01-01  34.682080924855490
2006-04-01  34.410729991204924
2006-07-01  35.628073312472060
2006-10-01  34.707207207207205
2007-01-01  34.325983177995000
2007-04-01  33.033505734202830
2007-07-01  33.781934306569350
2007-10-01  33.828733191790520
2008-01-01  34.697855750487330
2008-04-01  34.050445103857570
2008-07-01  33.851084812623270
2008-10-01  34.749694749694750
2009-01-01  34.337944664031625
2009-04-01  34.197651663405090
2009-07-01  33.398342272062410
2009-10-01  33.300637567435020
2010-01-01  33.480392156862740
2010-04-01  33.447182239570630
2010-07-01  32.398145889241280
2010-10-01  32.623071271124170
2011-01-01  32.668636139832600
2011-04-01  32.467853610286845
2011-07-01  31.859945368760870
2011-10-01  32.380715705765404
2012-01-01  32.333250681874540
2012-04-01  32.289097187962504
2012-07-01  32.790927021696255
2012-10-01  32.618343195266270
2013-01-01  32.430471584038690
2013-04-01  31.754807692307690
2013-07-01  31.485740570377185
2013-10-01  31.461449942462600
2014-01-01  30.625285257873120
2014-04-01  31.436923768832920
2014-07-01  31.785554060116645
2014-10-01  31.702939196769126
2015-01-01  30.817329164805717
2015-04-01  30.380026513477688
2015-07-01  30.212954747116240
2015-10-01  30.349248452696730
2016-01-01  29.946996466431100
2016-04-01  28.885469333919545
2016-07-01  28.991416309012873
2016-10-01  28.251308900523558
2017-01-01  27.966998096044005
2017-04-01  28.053719889149438
2017-07-01  28.756641870350690
2017-10-01  28.922616502778965
2018-01-01  28.022212729602735
2018-04-01  27.568602425015953
2018-07-01  27.978835978835980
