Title:               Equifax Subprime Credit Population for Swain County, NC
Series ID:           EQFXSUBPRIME037173
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  44.129104062326100
1999-04-01  44.652701212789420
1999-07-01  43.703308431163286
1999-10-01  42.654287274713270
2000-01-01  43.444871091607240
2000-04-01  43.658931462493260
2000-07-01  44.171779141104295
2000-10-01  41.083290751149720
2001-01-01  40.925637025481024
2001-04-01  39.039665970772440
2001-07-01  39.373368146214100
2001-10-01  40.052356020942410
2002-01-01  39.848402815376290
2002-04-01  39.978034047226800
2002-07-01  39.871382636655950
2002-10-01  41.240045506257110
2003-01-01  41.834968263127530
2003-04-01  41.311852704257770
2003-07-01  42.940490081680280
2003-10-01  42.283051834595230
2004-01-01  41.450777202072540
2004-04-01  39.629200463499420
2004-07-01  38.858093126385810
2004-10-01  39.988876529477196
2005-01-01  40.076754385964910
2005-04-01  38.177874186550970
2005-07-01  37.608225108225106
2005-10-01  39.547413793103445
2006-01-01  39.428289797930010
2006-04-01  39.024390243902440
2006-07-01  40.662809047869544
2006-10-01  39.881273610361575
2007-01-01  40.993449781659390
2007-04-01  40.756526371870000
2007-07-01  40.052219321148826
2007-10-01  41.166936790923830
2008-01-01  44.471153846153850
2008-04-01  44.437577255871446
2008-07-01  43.704600484261505
2008-10-01  44.444444444444440
2009-01-01  45.060975609756100
2009-04-01  44.764237599510100
2009-07-01  43.345543345543350
2009-10-01  43.095975232198140
2010-01-01  42.947501581277680
2010-04-01  40.051020408163260
2010-07-01  40.542244640605300
2010-10-01  40.705734089477005
2011-01-01  40.792838874680310
2011-04-01  39.301587301587304
2011-07-01  39.261114589855980
2011-10-01  40.435060780550224
2012-01-01  40.303221730890710
2012-04-01  40.998104864181930
2012-07-01  38.411458333333330
2012-10-01  39.530332681017610
2013-01-01  37.730061349693250
2013-04-01  37.916152897657210
2013-07-01  38.242009132420094
2013-10-01  37.921187892632780
2014-01-01  38.479262672811060
2014-04-01  38.691159586681970
2014-07-01  38.391845979614950
2014-10-01  38.624930128563440
2015-01-01  39.709983268265475
2015-04-01  37.954164337618780
2015-07-01  37.609170305676855
2015-10-01  37.203023758099350
2016-01-01  36.428181321682140
2016-04-01  36.699239956568945
2016-07-01  37.125748502994010
2016-10-01  36.090225563909770
2017-01-01  36.238279095421950
2017-04-01  36.839207048458150
2017-07-01  36.223929747530185
2017-10-01  36.966292134831460
2018-01-01  37.219485495347560
2018-04-01  36.924742826204660
2018-07-01  37.420382165605090
