Title:               Equifax Subprime Credit Population for Guilford County, NC
Series ID:           EQFXSUBPRIME037081
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  39.000645862541546
1999-04-01  39.125693575804230
1999-07-01  38.351523049356570
1999-10-01  38.414813363378070
2000-01-01  38.658585858585860
2000-04-01  37.478848094387950
2000-07-01  36.670975286984890
2000-10-01  34.952120383036934
2001-01-01  35.585651752401660
2001-04-01  34.832605531295485
2001-07-01  34.856343255205566
2001-10-01  34.138771247896960
2002-01-01  36.113556655649690
2002-04-01  34.491909570805600
2002-07-01  34.551798019572644
2002-10-01  34.626861409745720
2003-01-01  34.763236820855920
2003-04-01  34.494763239415846
2003-07-01  35.084642480269906
2003-10-01  34.528461448734400
2004-01-01  36.404208330777250
2004-04-01  34.215683363520290
2004-07-01  34.047807651088020
2004-10-01  33.616254751400620
2005-01-01  33.648311736279970
2005-04-01  33.295818944252595
2005-07-01  33.922373488438430
2005-10-01  34.002916686268050
2006-01-01  34.021189997307700
2006-04-01  33.614719305524524
2006-07-01  33.776188042922840
2006-10-01  33.774597495527730
2007-01-01  34.283859368757490
2007-04-01  33.521696891191710
2007-07-01  33.935136554621850
2007-10-01  34.743233332764830
2008-01-01  36.747098238804874
2008-04-01  36.673283490714800
2008-07-01  36.254093233746644
2008-10-01  36.375651663117700
2009-01-01  36.401454109358010
2009-04-01  35.958431743032590
2009-07-01  35.951621728711864
2009-10-01  36.378003732053770
2010-01-01  36.274397463809635
2010-04-01  35.568541047993100
2010-07-01  35.616177031667300
2010-10-01  36.240949239925700
2011-01-01  35.764902042517720
2011-04-01  35.494686594305850
2011-07-01  35.546042582080830
2011-10-01  35.915227392714385
2012-01-01  35.515498906403195
2012-04-01  35.111730266006510
2012-07-01  35.027039206849930
2012-10-01  35.542878518657070
2013-01-01  34.385610055623786
2013-04-01  33.662980981866430
2013-07-01  33.773812718003754
2013-10-01  33.939263264392220
2014-01-01  33.374339795951840
2014-04-01  32.939961646260514
2014-07-01  32.798925792309060
2014-10-01  32.977851989540340
2015-01-01  32.652932652932655
2015-04-01  32.293729630264940
2015-07-01  32.735022862900095
2015-10-01  33.192950829862625
2016-01-01  32.432263800714410
2016-04-01  32.180033397318850
2016-07-01  31.223986205256270
2016-10-01  31.283168374731364
2017-01-01  30.944428914031807
2017-04-01  30.538570084666038
2017-07-01  30.742583703964655
2017-10-01  31.053957900978357
2018-01-01  30.463328547499400
2018-04-01  30.191023683343815
2018-07-01  30.437309962439635
