Title:               Total Quarterly Wages in Greenville, NC (MSA)
Series ID:           ENUC247830010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE            VALUE
1990-01-01  243693069
1990-04-01  250510141
1990-07-01  248294774
1990-10-01  255110944
1991-01-01  260725038
1991-04-01  257488294
1991-07-01  261865241
1991-10-01  265699944
1992-01-01  265565275
1992-04-01  272302600
1992-07-01  278456447
1992-10-01  296619807
1993-01-01  279373316
1993-04-01  295251627
1993-07-01  307285710
1993-10-01  310500479
1994-01-01  312607671
1994-04-01  317786000
1994-07-01  327106484
1994-10-01  329812681
1995-01-01  341192541
1995-04-01  345622119
1995-07-01  342408774
1995-10-01  344152706
1996-01-01  355166187
1996-04-01  358656298
1996-07-01  363817799
1996-10-01  369355336
1997-01-01  386034804
1997-04-01  391046050
1997-07-01  390292054
1997-10-01  398063408
1998-01-01  390963006
1998-04-01  406659033
1998-07-01  416140907
1998-10-01  430787472
1999-01-01  430978320
1999-04-01  434787749
1999-07-01  456281006
1999-10-01  462537684
2000-01-01  474368144
2000-04-01  478793971
2000-07-01  466826525
2000-10-01  505269225
2001-01-01  487195112
2001-04-01  486719317
2001-07-01  477010440
2001-10-01  481814140
2002-01-01  492280632
2002-04-01  497970587
2002-07-01  494384159
2002-10-01  495862894
2003-01-01  496158140
2003-04-01  499771158
2003-07-01  499961478
2003-10-01  518504292
2004-01-01  508738421
2004-04-01  528989507
2004-07-01  541704045
2004-10-01  539820031
2005-01-01  541240153
2005-04-01  546015645
2005-07-01  567574142
2005-10-01  567492028
2006-01-01  580358058
2006-04-01  589264844
2006-07-01  597251073
2006-10-01  602366399
2007-01-01  632190922
2007-04-01  643335221
2007-07-01  649232390
2007-10-01  658837839
2008-01-01  674558367
2008-04-01  661457739
2008-07-01  662502130
2008-10-01  666888316
2009-01-01  646412246
2009-04-01  648345108
2009-07-01  655665662
2009-10-01  667114158
2010-01-01  662300486
2010-04-01  670398883
2010-07-01  685570774
2010-10-01  683895697
2011-01-01  682585269
2011-04-01  700106256
2011-07-01  698498101
2011-10-01  700574557
2012-01-01  731222205
2012-04-01  734469721
2012-07-01  736345952
2012-10-01  759655593
2013-01-01  721851535
2013-04-01  720065833
2013-07-01  719023280
2013-10-01  722167151
2014-01-01  740002240
2014-04-01  742929040
2014-07-01  740594479
2014-10-01  766799934
2015-01-01  771376704
2015-04-01  782004654
2015-07-01  751647329
2015-10-01  814873722
2016-01-01  787400643
2016-04-01  797162199
2016-07-01  819564322
2016-10-01  810534932
2017-01-01  830165581
2017-04-01  826947575
2017-07-01  843728112
2017-10-01  838650901
2018-01-01  858768237
