Title:               Average Weekly Wages for Employees in Private Establishments in Greensboro-High Point, NC (MSA)
Series ID:           ENUC246640510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   399
1990-04-01   396
1990-07-01   386
1990-10-01   423
1991-01-01   400
1991-04-01   409
1991-07-01   407
1991-10-01   437
1992-01-01   426
1992-04-01   427
1992-07-01   441
1992-10-01   495
1993-01-01   423
1993-04-01   439
1993-07-01   439
1993-10-01   489
1994-01-01   444
1994-04-01   445
1994-07-01   459
1994-10-01   493
1995-01-01   480
1995-04-01   470
1995-07-01   465
1995-10-01   511
1996-01-01   493
1996-04-01   492
1996-07-01   483
1996-10-01   536
1997-01-01   508
1997-04-01   506
1997-07-01   500
1997-10-01   559
1998-01-01   527
1998-04-01   538
1998-07-01   533
1998-10-01   614
1999-01-01   549
1999-04-01   571
1999-07-01   571
1999-10-01   620
2000-01-01   587
2000-04-01   581
2000-07-01   579
2000-10-01   620
2001-01-01   605
2001-04-01   593
2001-07-01   595
2001-10-01   637
2002-01-01   615
2002-04-01   604
2002-07-01   603
2002-10-01   640
2003-01-01   629
2003-04-01   609
2003-07-01   617
2003-10-01   670
2004-01-01   636
2004-04-01   632
2004-07-01   635
2004-10-01   700
2005-01-01   644
2005-04-01   645
2005-07-01   666
2005-10-01   703
2006-01-01   681
2006-04-01   672
2006-07-01   658
2006-10-01   723
2007-01-01   720
2007-04-01   695
2007-07-01   677
2007-10-01   735
2008-01-01   723
2008-04-01   705
2008-07-01   703
2008-10-01   746
2009-01-01   704
2009-04-01   701
2009-07-01   700
2009-10-01   775
2010-01-01   719
2010-04-01   723
2010-07-01   730
2010-10-01   791
2011-01-01   751
2011-04-01   735
2011-07-01   761
2011-10-01   777
2012-01-01   803
2012-04-01   744
2012-07-01   757
2012-10-01   822
2013-01-01   821
2013-04-01   770
2013-07-01   761
2013-10-01   822
2014-01-01   838
2014-04-01   772
2014-07-01   792
2014-10-01   850
2015-01-01   848
2015-04-01   795
2015-07-01   807
2015-10-01   885
2016-01-01   825
2016-04-01   815
2016-07-01   834
2016-10-01   852
2017-01-01   885
2017-04-01   842
2017-07-01   839
2017-10-01   898
2018-01-01   903
