Title:               Equifax Subprime Credit Population for Mecklenburg County, NC
Series ID:           EQFXSUBPRIME037119
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  37.523854715754940
1999-04-01  37.403831259358704
1999-07-01  36.341675824745470
1999-10-01  36.809790062242854
2000-01-01  37.073321327501930
2000-04-01  36.599151175098390
2000-07-01  35.910113690194220
2000-10-01  33.891281152351190
2001-01-01  33.660046917590300
2001-04-01  33.234957313496760
2001-07-01  32.873247442212960
2001-10-01  33.347777274428320
2002-01-01  32.711129546778864
2002-04-01  31.930581089796036
2002-07-01  31.851550911272568
2002-10-01  31.993474590739230
2003-01-01  32.194094846150165
2003-04-01  32.338057661360686
2003-07-01  33.037158297503055
2003-10-01  33.398689590620230
2004-01-01  33.657483511913014
2004-04-01  32.683519974896550
2004-07-01  32.503919486168010
2004-10-01  32.654294867919965
2005-01-01  32.015006417217890
2005-04-01  31.522718496589007
2005-07-01  32.273256748071980
2005-10-01  32.442267729441260
2006-01-01  32.462788608040010
2006-04-01  31.054273468669870
2006-07-01  31.123439159251532
2006-10-01  32.196438417117270
2007-01-01  32.229697307989860
2007-04-01  31.775620321829383
2007-07-01  32.325660285921980
2007-10-01  32.923649906890130
2008-01-01  34.416791476795936
2008-04-01  34.523427299385690
2008-07-01  34.450975435048250
2008-10-01  34.666106236536540
2009-01-01  34.853746351647885
2009-04-01  34.564855165342216
2009-07-01  34.505826959541515
2009-10-01  34.898588593090740
2010-01-01  34.832180374071230
2010-04-01  34.422916159617360
2010-07-01  34.300072087507964
2010-10-01  34.605744339893990
2011-01-01  34.130269926830770
2011-04-01  33.904431284459875
2011-07-01  34.134288526519800
2011-10-01  34.384554639884990
2012-01-01  33.948596714554164
2012-04-01  33.748967628870130
2012-07-01  33.822244100420930
2012-10-01  34.076176250933530
2013-01-01  32.859918981369580
2013-04-01  31.852716072428600
2013-07-01  31.582814026050354
2013-10-01  31.529002141985472
2014-01-01  30.832421049112924
2014-04-01  30.665261690617633
2014-07-01  30.790519965058090
2014-10-01  31.272424397744746
2015-01-01  30.914188940902047
2015-04-01  30.720270387655667
2015-07-01  31.031016093181800
2015-10-01  31.197272848106710
2016-01-01  30.422820399867074
2016-04-01  30.244924266838540
2016-07-01  29.807255737656895
2016-10-01  29.774483519949534
2017-01-01  29.471673634135794
2017-04-01  29.096637137448155
2017-07-01  29.209888233690585
2017-10-01  29.600367412255206
2018-01-01  29.055945064773940
2018-04-01  28.787053494639070
2018-07-01  29.168353252803286
