Title:               Equifax Subprime Credit Population for Greene County, NC
Series ID:           EQFXSUBPRIME037079
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  42.124970746548094
1999-04-01  41.934731934731936
1999-07-01  41.734352603917830
1999-10-01  43.030586037823950
2000-01-01  42.144808743169400
2000-04-01  41.907446558609350
2000-07-01  41.322737759548836
2000-10-01  39.495114006514660
2001-01-01  37.532355478861085
2001-04-01  35.617673579801625
2001-07-01  34.443021766965430
2001-10-01  34.124438742783840
2002-01-01  34.353175922846690
2002-04-01  34.175438596491226
2002-07-01  34.029745042492920
2002-10-01  33.828861493836115
2003-01-01  34.924242424242420
2003-04-01  35.034802784222740
2003-07-01  35.370662460567830
2003-10-01  34.681181959564540
2004-01-01  37.185929648241206
2004-04-01  35.657620041753650
2004-07-01  35.288808664259930
2004-10-01  35.420475319926870
2005-01-01  35.269709543568470
2005-04-01  36.019417475728154
2005-07-01  36.429258902791150
2005-10-01  36.372646184340940
2006-01-01  37.124569177744950
2006-04-01  37.364264560710760
2006-07-01  37.985257985257990
2006-10-01  37.114479874542600
2007-01-01  36.372695565520680
2007-04-01  35.834990059642145
2007-07-01  37.684103605891316
2007-10-01  39.127972819932050
2008-01-01  41.717791411042946
2008-04-01  41.896984924623110
2008-07-01  41.756842775302350
2008-10-01  41.318124207858050
2009-01-01  40.828025477707010
2009-04-01  41.315453384418900
2009-07-01  41.960281870595770
2009-10-01  41.617742987606000
2010-01-01  41.313269493844054
2010-04-01  42.280945757997216
2010-07-01  41.545893719806760
2010-10-01  42.069434989788974
2011-01-01  40.633608815426996
2011-04-01  40.644709180098110
2011-07-01  40.336134453781510
2011-10-01  40.527065527065524
2012-01-01  39.501779359430610
2012-04-01  38.908829863603735
2012-07-01  39.260312944523470
2012-10-01  39.551192145862550
2013-01-01  38.243243243243240
2013-04-01  37.618403247631940
2013-07-01  38.153647514525500
2013-10-01  38.652256834075020
2014-01-01  37.885462555066080
2014-04-01  35.844614479105360
2014-07-01  36.724864539434080
2014-10-01  37.792056074766360
2015-01-01  36.560364464692480
2015-04-01  35.819209039548020
2015-07-01  36.120591581342440
2015-10-01  36.630247268545140
2016-01-01  35.808109651627640
2016-04-01  36.637681159420290
2016-07-01  34.761904761904760
2016-10-01  34.824281150159750
2017-01-01  34.891304347826086
2017-04-01  33.872707659115430
2017-07-01  34.453781512605040
2017-10-01  35.912179822268680
2018-01-01  35.251425609123900
2018-04-01  35.437144335230215
2018-07-01  36.636794939377964
