Title:               Average Weekly Wages for Employees in Total Covered Establishments in Fayetteville, NC (MSA)
Series ID:           ENUC221840010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   345
1990-04-01   349
1990-07-01   344
1990-10-01   368
1991-01-01   350
1991-04-01   367
1991-07-01   363
1991-10-01   377
1992-01-01   376
1992-04-01   374
1992-07-01   391
1992-10-01   415
1993-01-01   372
1993-04-01   388
1993-07-01   395
1993-10-01   411
1994-01-01   379
1994-04-01   395
1994-07-01   406
1994-10-01   424
1995-01-01   401
1995-04-01   409
1995-07-01   410
1995-10-01   433
1996-01-01   412
1996-04-01   426
1996-07-01   425
1996-10-01   459
1997-01-01   435
1997-04-01   441
1997-07-01   447
1997-10-01   480
1998-01-01   450
1998-04-01   460
1998-07-01   460
1998-10-01   512
1999-01-01   447
1999-04-01   478
1999-07-01   481
1999-10-01   510
2000-01-01   487
2000-04-01   489
2000-07-01   498
2000-10-01   515
2001-01-01   505
2001-04-01   505
2001-07-01   508
2001-10-01   537
2002-01-01   527
2002-04-01   531
2002-07-01   538
2002-10-01   556
2003-01-01   534
2003-04-01   541
2003-07-01   547
2003-10-01   572
2004-01-01   539
2004-04-01   557
2004-07-01   575
2004-10-01   598
2005-01-01   550
2005-04-01   568
2005-07-01   603
2005-10-01   611
2006-01-01   588
2006-04-01   595
2006-07-01   595
2006-10-01   627
2007-01-01   618
2007-04-01   630
2007-07-01   641
2007-10-01   667
2008-01-01   646
2008-04-01   668
2008-07-01   645
2008-10-01   703
2009-01-01   648
2009-04-01   683
2009-07-01   681
2009-10-01   738
2010-01-01   658
2010-04-01   703
2010-07-01   714
2010-10-01   755
2011-01-01   682
2011-04-01   736
2011-07-01   750
2011-10-01   757
2012-01-01   718
2012-04-01   727
2012-07-01   734
2012-10-01   756
2013-01-01   746
2013-04-01   744
2013-07-01   741
2013-10-01   763
2014-01-01   722
2014-04-01   735
2014-07-01   740
2014-10-01   761
2015-01-01   734
2015-04-01   750
2015-07-01   759
2015-10-01   804
2016-01-01   744
2016-04-01   741
2016-07-01   805
2016-10-01   791
2017-01-01   783
2017-04-01   787
2017-07-01   795
2017-10-01   819
2018-01-01   795
