Title:               Average Weekly Wages for Employees in Total Covered Establishments in Goldsboro, NC (MSA)
Series ID:           ENUC241440010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  320.7
1990-04-01  324.6
1990-07-01  327.5
1990-10-01  322.5
1991-01-01  338.7
1991-04-01  341.7
1991-07-01  336.9
1991-10-01  335.1
1992-01-01  353.1
1992-04-01  350.4
1992-07-01  356.4
1992-10-01  367.0
1993-01-01  356.9
1993-04-01  364.9
1993-07-01  372.5
1993-10-01  377.3
1994-01-01  371.1
1994-04-01  369.9
1994-07-01  379.6
1994-10-01  373.3
1995-01-01  394.4
1995-04-01  393.3
1995-07-01  463.1
1995-10-01  395.5
1996-01-01  410.9
1996-04-01  411.8
1996-07-01  404.9
1996-10-01  420.3
1997-01-01  420.3
1997-04-01  422.9
1997-07-01  422.7
1997-10-01  431.3
1998-01-01  441.2
1998-04-01  441.1
1998-07-01  449.0
1998-10-01  458.5
1999-01-01  449.3
1999-04-01  457.9
1999-07-01  468.3
1999-10-01  469.7
2000-01-01  468.3
2000-04-01  471.6
2000-07-01  476.0
2000-10-01  473.9
2001-01-01  495.9
2001-04-01  493.5
2001-07-01  481.3
2001-10-01  484.4
2002-01-01  496.7
2002-04-01  497.2
2002-07-01  500.5
2002-10-01  490.9
2003-01-01  502.3
2003-04-01  503.1
2003-07-01  503.5
2003-10-01  512.9
2004-01-01  513.9
2004-04-01  520.5
2004-07-01  538.1
2004-10-01  538.2
2005-01-01  528.6
2005-04-01  541.9
2005-07-01  559.5
2005-10-01  545.7
2006-01-01  565.5
2006-04-01  563.6
2006-07-01  560.6
2006-10-01  564.9
2007-01-01  577.6
2007-04-01  581.3
2007-07-01  577.5
2007-10-01  583.9
2008-01-01  589.3
2008-04-01  586.7
2008-07-01  592.9
2008-10-01  584.9
2009-01-01  589.2
2009-04-01  591.7
2009-07-01  589.5
2009-10-01  611.4
2010-01-01  584.6
2010-04-01  609.9
2010-07-01  616.0
2010-10-01  632.7
2011-01-01  607.7
2011-04-01  635.7
2011-07-01  658.3
2011-10-01  635.2
2012-01-01  663.6
2012-04-01  651.8
2012-07-01  641.8
2012-10-01  648.1
2013-01-01  658.6
2013-04-01  653.4
2013-07-01  650.8
2013-10-01  641.8
2014-01-01  652.9
2014-04-01  647.0
2014-07-01  652.7
2014-10-01  663.2
2015-01-01  663.6
2015-04-01  665.9
2015-07-01  668.9
2015-10-01  699.3
2016-01-01  656.2
2016-04-01  678.0
2016-07-01  701.9
2016-10-01  697.7
2017-01-01  698.5
2017-04-01  707.5
2017-07-01  688.4
2017-10-01  699.4
2018-01-01  709.9
