Title:               Equifax Subprime Credit Population for Pasquotank County, NC
Series ID:           EQFXSUBPRIME037139
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  43.866633490918140
1999-04-01  43.561643835616440
1999-07-01  44.485384426430855
1999-10-01  45.230414746543780
2000-01-01  45.645161290322584
2000-04-01  43.670745272525030
2000-07-01  43.013757523645744
2000-10-01  41.316270566727600
2001-01-01  42.721198623203080
2001-04-01  41.379310344827590
2001-07-01  41.041785918717810
2001-10-01  41.374045801526710
2002-01-01  41.661813240147545
2002-04-01  41.235098690639040
2002-07-01  41.123857670620260
2002-10-01  40.560928433268860
2003-01-01  42.347343378271210
2003-04-01  42.190669371196755
2003-07-01  43.394329378644680
2003-10-01  43.524246657353820
2004-01-01  43.515392254220460
2004-04-01  42.329204954055136
2004-07-01  43.114385103335380
2004-10-01  43.030548250050580
2005-01-01  42.090837901331250
2005-04-01  42.605075337034100
2005-07-01  42.280054379491160
2005-10-01  42.474980754426480
2006-01-01  42.636692703372070
2006-04-01  42.047426257952570
2006-07-01  41.817841780437630
2006-10-01  41.557943207981580
2007-01-01  41.509077155824510
2007-04-01  41.061815481715240
2007-07-01  41.204407294832826
2007-10-01  42.211746218817520
2008-01-01  45.021916092673760
2008-04-01  44.812315478700970
2008-07-01  44.064260379720430
2008-10-01  44.506633499170810
2009-01-01  44.437420986093550
2009-04-01  44.458680333119794
2009-07-01  44.607946184570110
2009-10-01  44.345427540844476
2010-01-01  43.879071747924210
2010-04-01  44.387427838357920
2010-07-01  44.027303754266214
2010-10-01  44.189044038668094
2011-01-01  43.530938987451314
2011-04-01  43.501844217834670
2011-07-01  43.707295569759750
2011-10-01  44.164659513904090
2012-01-01  43.763772587042750
2012-04-01  43.976970770593450
2012-07-01  43.576158940397356
2012-10-01  43.733509234828496
2013-01-01  42.841811547542390
2013-04-01  41.402619349387410
2013-07-01  41.488071168621110
2013-10-01  41.361567385711450
2014-01-01  40.973871733966746
2014-04-01  40.548598688133566
2014-07-01  40.471941304778900
2014-10-01  41.356673960612690
2015-01-01  40.886304391417690
2015-04-01  40.509120064141115
2015-07-01  40.988197639527904
2015-10-01  41.204916381221030
2016-01-01  40.577965081276340
2016-04-01  39.798994974874375
2016-07-01  39.113143766156290
2016-10-01  39.561300430865650
2017-01-01  39.071038251366120
2017-04-01  39.267528397963180
2017-07-01  39.114319157237620
2017-10-01  38.670096972095784
2018-01-01  38.606216590774100
2018-04-01  37.997229368691860
2018-07-01  38.596150106941470
