Title:               Average Weekly Wages for Employees in State Government Establishments in Winston-Salem, NC (MSA)
Series ID:           ENUC491840210
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-04-01
Last Updated:        2018-12-17 3:32 PM CST
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   416
1990-04-01   413
1990-07-01   557
1990-10-01   429
1991-01-01   438
1991-04-01   424
1991-07-01   549
1991-10-01   420
1992-01-01   431
1992-04-01   402
1992-07-01   568
1992-10-01   432
1993-01-01   431
1993-04-01   408
1993-07-01   581
1993-10-01   448
1994-01-01   439
1994-04-01   435
1994-07-01   513
1994-10-01   466
1995-01-01   470
1995-04-01   483
1995-07-01   502
1995-10-01   488
1996-01-01   489
1996-04-01   482
1996-07-01   497
1996-10-01   508
1997-01-01   494
1997-04-01   509
1997-07-01   535
1997-10-01   530
1998-01-01   552
1998-04-01   534
1998-07-01   546
1998-10-01   558
1999-01-01   543
1999-04-01   546
1999-07-01   591
1999-10-01   557
2000-01-01   561
2000-04-01   550
2000-07-01   617
2000-10-01   588
2001-01-01   600
2001-04-01   572
2001-07-01   621
2001-10-01   588
2002-01-01     .
2002-04-01     .
2002-07-01     .
2002-10-01     .
2003-01-01   601
2003-04-01   587
2003-07-01   638
2003-10-01   609
2004-01-01   615
2004-04-01   601
2004-07-01   667
2004-10-01   633
2005-01-01   624
2005-04-01   648
2005-07-01   688
2005-10-01   667
2006-01-01   655
2006-04-01   673
2006-07-01   734
2006-10-01   719
2007-01-01   702
2007-04-01   720
2007-07-01   780
2007-10-01   758
2008-01-01   748
2008-04-01   761
2008-07-01   812
2008-10-01   752
2009-01-01   749
2009-04-01   756
2009-07-01   808
2009-10-01   765
2010-01-01   760
2010-04-01   746
2010-07-01   802
2010-10-01   767
2011-01-01   757
2011-04-01   770
2011-07-01   818
2011-10-01   749
2012-01-01   757
2012-04-01   756
2012-07-01   822
2012-10-01   753
2013-01-01   755
2013-04-01   747
2013-07-01   780
2013-10-01   726
2014-01-01   731
2014-04-01   725
2014-07-01   781
2014-10-01   732
2015-01-01   738
2015-04-01   737
2015-07-01   789
2015-10-01   791
2016-01-01   746
2016-04-01   757
2016-07-01   829
2016-10-01   829
2017-01-01   772
2017-04-01   776
2017-07-01   812
2017-10-01   814
2018-01-01   791
2018-04-01   812
