Title:               Equifax Subprime Credit Population for Anson County, NC
Series ID:           EQFXSUBPRIME037007
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  43.676906284110400
1999-04-01  43.468611287254284
1999-07-01  43.148734177215190
1999-10-01  43.105095541401270
2000-01-01  43.440653531955790
2000-04-01  43.637219519849360
2000-07-01  41.691842900302120
2000-10-01  39.527559055118110
2001-01-01  40.230539348228260
2001-04-01  40.198511166253105
2001-07-01  40.546160243970060
2001-10-01  40.747188002142480
2002-01-01  41.114499584141946
2002-04-01  40.938195991091310
2002-07-01  41.079418344519010
2002-10-01  42.398964475765850
2003-01-01  41.115272575946730
2003-04-01  41.080312722103770
2003-07-01  41.236384212759940
2003-10-01  41.918472063854050
2004-01-01  43.066860465116280
2004-04-01  43.599397590361440
2004-07-01  44.061817570972615
2004-10-01  45.203434117207910
2005-01-01  44.027237354085600
2005-04-01  41.640502354788070
2005-07-01  43.341247571767750
2005-10-01  44.447086801426870
2006-01-01  43.887823585810170
2006-04-01  42.188270083785120
2006-07-01  41.554404145077726
2006-10-01  41.918918918918920
2007-01-01  41.832229580573950
2007-04-01  40.406816932380430
2007-07-01  41.647791619479044
2007-10-01  42.108433734939760
2008-01-01  44.000000000000000
2008-04-01  44.091530054644810
2008-07-01  44.088669950738920
2008-10-01  43.332154227095856
2009-01-01  42.930215564486660
2009-04-01  42.612579084480835
2009-07-01  42.862495316597980
2009-10-01  42.906574394463670
2010-01-01  43.100115964437580
2010-04-01  42.465753424657535
2010-07-01  42.760809202697345
2010-10-01  42.828843106180660
2011-01-01  43.152866242038215
2011-04-01  43.086172344689380
2011-07-01  44.078683259735044
2011-10-01  43.800978792822185
2012-01-01  44.439834024896264
2012-04-01  43.993371996686000
2012-07-01  44.009880609304240
2012-10-01  45.700245700245700
2013-01-01  45.334401281537840
2013-04-01  44.470680834317200
2013-07-01  44.695845697329375
2013-10-01  45.218028581898130
2014-01-01  44.868035190615835
2014-04-01  45.073529411764710
2014-07-01  45.052939028842644
2014-10-01  45.624774936982355
2015-01-01  46.537495514890566
2015-04-01  41.154422788605700
2015-07-01  42.087667161961370
2015-10-01  42.338251986379110
2016-01-01  41.738803161460290
2016-04-01  41.876172607879920
2016-07-01  40.909090909090914
2016-10-01  41.221935958778070
2017-01-01  40.028954035468690
2017-04-01  38.986141502552876
2017-07-01  38.951997068523270
2017-10-01  40.145985401459850
2018-01-01  38.652094717668490
2018-04-01  38.754578754578760
2018-07-01  39.341295693087226
