Title:               Total Quarterly Wages in Jacksonville, NC (MSA)
Series ID:           ENUC273430010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE            VALUE
1990-01-01  110984153
1990-04-01  111118323
1990-07-01  108872786
1990-10-01  110678134
1991-01-01  109612048
1991-04-01  113934762
1991-07-01  112920905
1991-10-01  113199409
1992-01-01  117640871
1992-04-01  116832180
1992-07-01  120847752
1992-10-01  120532316
1993-01-01  120007358
1993-04-01  123886811
1993-07-01  126983388
1993-10-01  130021979
1994-01-01  130674629
1994-04-01  131585000
1994-07-01  135539054
1994-10-01  133386504
1995-01-01  139966977
1995-04-01  140730109
1995-07-01  142371664
1995-10-01  145381924
1996-01-01  148323156
1996-04-01  149605628
1996-07-01  152375198
1996-10-01  158225476
1997-01-01  167002300
1997-04-01  174067887
1997-07-01  176074330
1997-10-01  182102320
1998-01-01  178014048
1998-04-01  184715374
1998-07-01  187471148
1998-10-01  196565135
1999-01-01  191846855
1999-04-01  196507377
1999-07-01  203798694
1999-10-01  205590155
2000-01-01  212934044
2000-04-01  207755314
2000-07-01  214510016
2000-10-01  213414586
2001-01-01  215136608
2001-04-01  213764786
2001-07-01  210492312
2001-10-01  214905464
2002-01-01  215426226
2002-04-01  221322048
2002-07-01  219238705
2002-10-01  215594645
2003-01-01  222293799
2003-04-01  219529824
2003-07-01  223940713
2003-10-01  227410842
2004-01-01  234614158
2004-04-01  234386808
2004-07-01  246489881
2004-10-01  250782264
2005-01-01  240238185
2005-04-01  254086415
2005-07-01  261711700
2005-10-01  262254936
2006-01-01  268502603
2006-04-01  276932018
2006-07-01  275449349
2006-10-01  284905698
2007-01-01  293349898
2007-04-01  298405807
2007-07-01  304116076
2007-10-01  308281865
2008-01-01  313859381
2008-04-01  317890605
2008-07-01  322070523
2008-10-01  326421065
2009-01-01  327669982
2009-04-01  331188799
2009-07-01  327361852
2009-10-01  349234170
2010-01-01  336018956
2010-04-01  348315922
2010-07-01  348627580
2010-10-01  369388003
2011-01-01  350682862
2011-04-01  367200642
2011-07-01  375147115
2011-10-01  356895240
2012-01-01  374224681
2012-04-01  359907463
2012-07-01  365988517
2012-10-01  368589749
2013-01-01  384252680
2013-04-01  376110998
2013-07-01  376012394
2013-10-01  373918832
2014-01-01  383383117
2014-04-01  383875702
2014-07-01  383859632
2014-10-01  386442793
2015-01-01  387892223
2015-04-01  385039754
2015-07-01  391898552
2015-10-01  403372774
2016-01-01  379842502
2016-04-01  391716752
2016-07-01  411569094
2016-10-01  404305381
2017-01-01  409645564
2017-04-01  413140824
2017-07-01  401696235
2017-10-01  419939929
2018-01-01  421364110
