Title:               Equifax Subprime Credit Population for Brunswick County, NC
Series ID:           EQFXSUBPRIME037019
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  37.355601948503825
1999-04-01  37.450199203187250
1999-07-01  37.509040937364380
1999-10-01  37.485276796230860
2000-01-01  38.336028222842860
2000-04-01  37.824060588406645
2000-07-01  37.823691460055095
2000-10-01  36.238767650834404
2001-01-01  37.507995394652680
2001-04-01  36.408194042981020
2001-07-01  36.185098809377685
2001-10-01  36.178174794785130
2002-01-01  35.953990276295510
2002-04-01  35.816146140247500
2002-07-01  35.426567096628200
2002-10-01  35.551266038378564
2003-01-01  35.616595793586940
2003-04-01  35.580352007362250
2003-07-01  35.994414057954150
2003-10-01  35.300859598853870
2004-01-01  36.212361331220286
2004-04-01  35.285761119003390
2004-07-01  34.373341823198560
2004-10-01  34.702680497073020
2005-01-01  34.726787181594084
2005-04-01  34.391480730223120
2005-07-01  33.501334123925290
2005-10-01  33.615680094553330
2006-01-01  33.585417878611594
2006-04-01  33.320388349514560
2006-07-01  33.091672231231520
2006-10-01  32.776079480320980
2007-01-01  32.722290465841440
2007-04-01  32.329446331833620
2007-07-01  32.536146221696825
2007-10-01  31.885553470919326
2008-01-01  33.444292148032110
2008-04-01  33.359605911330050
2008-07-01  33.397851543598180
2008-10-01  33.798613785136695
2009-01-01  33.860023264831330
2009-04-01  33.317115889851124
2009-07-01  33.034509350298826
2009-10-01  33.140320401466900
2010-01-01  32.727967883769830
2010-04-01  32.418573734688070
2010-07-01  32.294804216867470
2010-10-01  32.480314960629920
2011-01-01  32.436708860759495
2011-04-01  32.078103207810320
2011-07-01  31.715210355987054
2011-10-01  31.683258745090875
2012-01-01  31.355084976824504
2012-04-01  31.364710158095583
2012-07-01  31.374134986968630
2012-10-01  31.470144618933550
2013-01-01  30.511643719190890
2013-04-01  30.093489429798700
2013-07-01  30.121852152721363
2013-10-01  29.755434782608700
2014-01-01  29.021858782827486
2014-04-01  28.916418378547910
2014-07-01  28.880006149588745
2014-10-01  28.702132369217146
2015-01-01  28.280076571933442
2015-04-01  28.099052097876402
2015-07-01  28.070433949753188
2015-10-01  28.399171475070280
2016-01-01  27.596351868196530
2016-04-01  27.208454810495624
2016-07-01  26.002219447912335
2016-10-01  25.602739726027394
2017-01-01  25.194062372327387
2017-04-01  24.794511242442770
2017-07-01  24.766977363515313
2017-10-01  24.676610348468850
2018-01-01  24.453383507428793
2018-04-01  24.263900521873590
2018-07-01  24.063932755985736
