Title:               Average Weekly Wages for Employees in State Government Establishments in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           ENUC472640210
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-04-01
Last Updated:        2018-12-17 3:31 PM CST
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   419
1990-04-01   451
1990-07-01   453
1990-10-01   470
1991-01-01   468
1991-04-01   462
1991-07-01   479
1991-10-01   457
1992-01-01   450
1992-04-01   443
1992-07-01   429
1992-10-01   407
1993-01-01   406
1993-04-01   419
1993-07-01   431
1993-10-01   442
1994-01-01   454
1994-04-01   449
1994-07-01   463
1994-10-01   462
1995-01-01   473
1995-04-01   478
1995-07-01   470
1995-10-01   478
1996-01-01   488
1996-04-01   464
1996-07-01   468
1996-10-01   502
1997-01-01   520
1997-04-01   497
1997-07-01   524
1997-10-01   532
1998-01-01   541
1998-04-01   514
1998-07-01   539
1998-10-01   554
1999-01-01   580
1999-04-01   535
1999-07-01   579
1999-10-01   594
2000-01-01   614
2000-04-01   581
2000-07-01   623
2000-10-01   612
2001-01-01     .
2001-04-01     .
2001-07-01     .
2001-10-01     .
2002-01-01   628
2002-04-01   584
2002-07-01   679
2002-10-01   630
2003-01-01   630
2003-04-01   586
2003-07-01     .
2003-10-01     .
2004-01-01   638
2004-04-01   597
2004-07-01   655
2004-10-01   658
2005-01-01   678
2005-04-01   630
2005-07-01   710
2005-10-01   698
2006-01-01   707
2006-04-01   706
2006-07-01   707
2006-10-01   712
2007-01-01   736
2007-04-01   697
2007-07-01   775
2007-10-01   734
2008-01-01   760
2008-04-01   734
2008-07-01   809
2008-10-01   762
2009-01-01   753
2009-04-01   722
2009-07-01   789
2009-10-01   739
2010-01-01   730
2010-04-01   709
2010-07-01   778
2010-10-01   794
2011-01-01   737
2011-04-01   717
2011-07-01   811
2011-10-01   758
2012-01-01   755
2012-04-01   735
2012-07-01   812
2012-10-01   831
2013-01-01   768
2013-04-01   741
2013-07-01   803
2013-10-01   777
2014-01-01   794
2014-04-01   775
2014-07-01   859
2014-10-01   823
2015-01-01   816
2015-04-01   800
2015-07-01   900
2015-10-01   863
2016-01-01   866
2016-04-01   840
2016-07-01   945
2016-10-01   887
2017-01-01   879
2017-04-01   857
2017-07-01   986
2017-10-01   883
2018-01-01   892
2018-04-01   859
