Title:               Average Weekly Wages for Employees in Total Covered Establishments in Goldsboro, NC (MSA)
Series ID:           ENUC241440010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   312
1990-04-01   314
1990-07-01   328
1990-10-01   342
1991-01-01   329
1991-04-01   331
1991-07-01   338
1991-10-01   355
1992-01-01   342
1992-04-01   340
1992-07-01   358
1992-10-01   388
1993-01-01   344
1993-04-01   355
1993-07-01   374
1993-10-01   400
1994-01-01   356
1994-04-01   361
1994-07-01   380
1994-10-01   398
1995-01-01   378
1995-04-01   385
1995-07-01   462
1995-10-01   422
1996-01-01   394
1996-04-01   404
1996-07-01   402
1996-10-01   448
1997-01-01   404
1997-04-01   415
1997-07-01   418
1997-10-01   460
1998-01-01   426
1998-04-01   433
1998-07-01   443
1998-10-01   487
1999-01-01   436
1999-04-01   449
1999-07-01   462
1999-10-01   497
2000-01-01   457
2000-04-01   462
2000-07-01   470
2000-10-01   500
2001-01-01   486
2001-04-01   483
2001-07-01   476
2001-10-01   510
2002-01-01   487
2002-04-01   486
2002-07-01   496
2002-10-01   517
2003-01-01   492
2003-04-01   491
2003-07-01   500
2003-10-01   540
2004-01-01   502
2004-04-01   508
2004-07-01   535
2004-10-01   567
2005-01-01   515
2005-04-01   529
2005-07-01   557
2005-10-01   576
2006-01-01   550
2006-04-01   551
2006-07-01   558
2006-10-01   597
2007-01-01   560
2007-04-01   569
2007-07-01   575
2007-10-01   618
2008-01-01   569
2008-04-01   575
2008-07-01   591
2008-10-01   620
2009-01-01   567
2009-04-01   580
2009-07-01   589
2009-10-01   646
2010-01-01   562
2010-04-01   598
2010-07-01   617
2010-10-01   665
2011-01-01   587
2011-04-01   623
2011-07-01   660
2011-10-01   665
2012-01-01   646
2012-04-01   638
2012-07-01   644
2012-10-01   675
2013-01-01   645
2013-04-01   638
2013-07-01   653
2013-10-01   667
2014-01-01   642
2014-04-01   631
2014-07-01   654
2014-10-01   688
2015-01-01   654
2015-04-01   650
2015-07-01   669
2015-10-01   725
2016-01-01   646
2016-04-01   663
2016-07-01   701
2016-10-01   724
2017-01-01   688
2017-04-01   693
2017-07-01   687
2017-10-01   726
2018-01-01   699
