Title:               Equifax Subprime Credit Population for Wake County, NC
Series ID:           EQFXSUBPRIME037183
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:41 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  33.104179710959760
1999-04-01  33.520538528385580
1999-07-01  32.618002925142930
1999-10-01  33.049255316252350
2000-01-01  33.224417050349025
2000-04-01  32.682478297319950
2000-07-01  32.193924030577890
2000-10-01  30.396464709870190
2001-01-01  30.678673844141468
2001-04-01  30.136071251855520
2001-07-01  29.902442055552104
2001-10-01  29.746512525043865
2002-01-01  29.899183989219676
2002-04-01  29.554129077029838
2002-07-01  29.616694955612810
2002-10-01  30.025276693906598
2003-01-01  29.959890432400705
2003-04-01  29.702776691435270
2003-07-01  30.073149584183085
2003-10-01  30.043058612932100
2004-01-01  30.893131176723344
2004-04-01  29.447453170419870
2004-07-01  29.210366646441884
2004-10-01  29.188565253696154
2005-01-01  28.841721091048790
2005-04-01  28.362339412880370
2005-07-01  28.575007754897513
2005-10-01  28.767270001071010
2006-01-01  28.757680560012360
2006-04-01  27.355764440163416
2006-07-01  27.632505722838530
2006-10-01  28.342727776751065
2007-01-01  28.068032541310412
2007-04-01  27.496683082596867
2007-07-01  27.982560890431017
2007-10-01  28.477373887240354
2008-01-01  29.583318187876370
2008-04-01  29.521867822797560
2008-07-01  29.086619888700703
2008-10-01  29.282815913947513
2009-01-01  29.144388253895453
2009-04-01  28.953336872074510
2009-07-01  28.858306753156770
2009-10-01  29.177221239783968
2010-01-01  28.899361689435064
2010-04-01  28.430756834259580
2010-07-01  28.539394797715150
2010-10-01  28.742277654738313
2011-01-01  27.960212879685790
2011-04-01  27.961708598285874
2011-07-01  28.166235188120840
2011-10-01  28.592076661317673
2012-01-01  28.047925057700140
2012-04-01  27.767280743190050
2012-07-01  27.553083358464853
2012-10-01  28.088843660818974
2013-01-01  27.019432375764650
2013-04-01  26.592425732626880
2013-07-01  26.866652723415697
2013-10-01  26.957949807253563
2014-01-01  26.245766577065275
2014-04-01  25.975092509395864
2014-07-01  25.967683473549670
2014-10-01  26.494007129691138
2015-01-01  25.748619321177806
2015-04-01  25.496731071258992
2015-07-01  25.582072441747260
2015-10-01  25.742592076018393
2016-01-01  25.102048188418884
2016-04-01  24.970155014406377
2016-07-01  24.906617557636512
2016-10-01  24.995738442656485
2017-01-01  24.319190985857652
2017-04-01  23.964190463247657
2017-07-01  24.305351212745386
2017-10-01  24.728251752943940
2018-01-01  23.782852939209523
2018-04-01  23.627874343275728
2018-07-01  23.951397447456140
