Title:               Equifax Subprime Credit Population for Rutherford County, NC
Series ID:           EQFXSUBPRIME037161
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  35.000000000000000
1999-04-01  34.709113959712630
1999-07-01  34.222474460839955
1999-10-01  34.655775962660440
2000-01-01  34.850455136540965
2000-04-01  34.235033259423500
2000-07-01  34.112891583658150
2000-10-01  32.235772357723580
2001-01-01  33.378341884958140
2001-04-01  32.271169226863016
2001-07-01  33.202531645569620
2001-10-01  34.080774620970820
2002-01-01  35.401993355481730
2002-04-01  35.217275393228470
2002-07-01  34.933753115571300
2002-10-01  35.438178448504104
2003-01-01  35.403389830508470
2003-04-01  35.682879912063754
2003-07-01  36.215765327401640
2003-10-01  36.668537749087850
2004-01-01  36.993409059038000
2004-04-01  36.983642916551155
2004-07-01  37.717973362625290
2004-10-01  38.678462814487150
2005-01-01  37.995083310570884
2005-04-01  37.813985064494230
2005-07-01  37.288590604026844
2005-10-01  38.483804272915230
2006-01-01  38.838601866035370
2006-04-01  38.195804195804190
2006-07-01  37.859737356803580
2006-10-01  37.563237774030355
2007-01-01  38.027374065189780
2007-04-01  37.729595359756940
2007-07-01  38.334946757018390
2007-10-01  38.701372997711670
2008-01-01  39.843750000000000
2008-04-01  39.621212121212125
2008-07-01  39.324831207801950
2008-10-01  38.839082206351620
2009-01-01  38.785992217898840
2009-04-01  38.435054773082946
2009-07-01  38.712686567164180
2009-10-01  38.457914572864320
2010-01-01  38.045375218150085
2010-04-01  37.422037422037430
2010-07-01  37.278390033540970
2010-10-01  37.066496977410120
2011-01-01  36.148810474213630
2011-04-01  35.819227083998726
2011-07-01  36.035171862509990
2011-10-01  36.521459572416006
2012-01-01  36.414881623449830
2012-04-01  36.322869955156950
2012-07-01  36.102236421725244
2012-10-01  36.100508905852420
2013-01-01  34.971931421635570
2013-04-01  33.914874417205596
2013-07-01  33.946232065747320
2013-10-01  33.956167462770445
2014-01-01  33.805723720418270
2014-04-01  33.734281027884090
2014-07-01  33.410075839653300
2014-10-01  34.276518707254930
2015-01-01  33.663758921490880
2015-04-01  33.372718918209270
2015-07-01  33.429697766097240
2015-10-01  32.929399367755530
2016-01-01  32.817621607447230
2016-04-01  32.136752136752136
2016-07-01  32.379363449691986
2016-10-01  32.431729518855654
2017-01-01  32.161778007494505
2017-04-01  31.877729257641924
2017-07-01  31.925305859626530
2017-10-01  32.509652509652510
2018-01-01  32.153925619834710
2018-04-01  31.754227442881117
2018-07-01  31.862175764614786
