Title:               Average Weekly Wages for Employees in Private Establishments in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           ENUC472640510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-04-01
Last Updated:        2018-12-17 3:31 PM CST
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   358
1990-04-01   358
1990-07-01   358
1990-10-01   392
1991-01-01   369
1991-04-01   380
1991-07-01   378
1991-10-01   414
1992-01-01   387
1992-04-01   384
1992-07-01   389
1992-10-01   443
1993-01-01   379
1993-04-01   396
1993-07-01   401
1993-10-01   450
1994-01-01   396
1994-04-01   407
1994-07-01   419
1994-10-01   444
1995-01-01   422
1995-04-01   416
1995-07-01   417
1995-10-01   455
1996-01-01   432
1996-04-01   431
1996-07-01   430
1996-10-01   474
1997-01-01   439
1997-04-01   440
1997-07-01   446
1997-10-01   494
1998-01-01   459
1998-04-01   462
1998-07-01   464
1998-10-01   524
1999-01-01   466
1999-04-01   486
1999-07-01   490
1999-10-01   547
2000-01-01   508
2000-04-01   503
2000-07-01   506
2000-10-01   552
2001-01-01   537
2001-04-01   528
2001-07-01   526
2001-10-01   603
2002-01-01   550
2002-04-01   549
2002-07-01   548
2002-10-01   598
2003-01-01   573
2003-04-01   571
2003-07-01   568
2003-10-01   637
2004-01-01   589
2004-04-01   587
2004-07-01   592
2004-10-01   674
2005-01-01   598
2005-04-01   615
2005-07-01   634
2005-10-01   679
2006-01-01   646
2006-04-01   643
2006-07-01   639
2006-10-01   709
2007-01-01   685
2007-04-01   668
2007-07-01   669
2007-10-01   732
2008-01-01   700
2008-04-01   685
2008-07-01   680
2008-10-01   760
2009-01-01   712
2009-04-01   700
2009-07-01   692
2009-10-01   792
2010-01-01     .
2010-04-01     .
2010-07-01     .
2010-10-01     .
2011-01-01     .
2011-04-01     .
2011-07-01     .
2011-10-01     .
2012-01-01     .
2012-04-01     .
2012-07-01     .
2012-10-01   843
2013-01-01   794
2013-04-01   758
2013-07-01   770
2013-10-01   817
2014-01-01   815
2014-04-01   772
2014-07-01   778
2014-10-01   857
2015-01-01   823
2015-04-01   782
2015-07-01   797
2015-10-01   884
2016-01-01   809
2016-04-01   788
2016-07-01   825
2016-10-01   866
2017-01-01   856
2017-04-01   817
2017-07-01   808
2017-10-01   885
2018-01-01   873
2018-04-01   844
