Title:               Average Weekly Wages for Employees in Local Government Establishments in Greenville, NC (MSA)
Series ID:           ENUC247840310
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-04-01
Last Updated:        2018-12-17 3:32 PM CST
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   375
1990-04-01   395
1990-07-01   365
1990-10-01   407
1991-01-01   368
1991-04-01   390
1991-07-01   367
1991-10-01   409
1992-01-01   407
1992-04-01   445
1992-07-01   406
1992-10-01   485
1993-01-01   422
1993-04-01   469
1993-07-01   460
1993-10-01   466
1994-01-01   481
1994-04-01   441
1994-07-01   503
1994-10-01   474
1995-01-01   502
1995-04-01   465
1995-07-01   499
1995-10-01   490
1996-01-01   517
1996-04-01   482
1996-07-01   532
1996-10-01   502
1997-01-01   540
1997-04-01   506
1997-07-01   593
1997-10-01   560
1998-01-01   529
1998-04-01   529
1998-07-01   599
1998-10-01   615
1999-01-01   539
1999-04-01   556
1999-07-01   641
1999-10-01   702
2000-01-01   581
2000-04-01   634
2000-07-01   610
2000-10-01   697
2001-01-01   611
2001-04-01   669
2001-07-01   626
2001-10-01   708
2002-01-01   621
2002-04-01   683
2002-07-01   648
2002-10-01   732
2003-01-01   642
2003-04-01   704
2003-07-01   676
2003-10-01     .
2004-01-01   670
2004-04-01   728
2004-07-01   764
2004-10-01   713
2005-01-01   709
2005-04-01   680
2005-07-01   806
2005-10-01   746
2006-01-01   752
2006-04-01   706
2006-07-01   817
2006-10-01   772
2007-01-01   789
2007-04-01   737
2007-07-01   827
2007-10-01   796
2008-01-01   807
2008-04-01   751
2008-07-01   859
2008-10-01   901
2009-01-01   771
2009-04-01   759
2009-07-01   845
2009-10-01   891
2010-01-01     .
2010-04-01     .
2010-07-01     .
2010-10-01     .
2011-01-01     .
2011-04-01     .
2011-07-01     .
2011-10-01     .
2012-01-01     .
2012-04-01     .
2012-07-01     .
2012-10-01     .
2013-01-01   825
2013-04-01   893
2013-07-01   870
2013-10-01   951
2014-01-01   825
2014-04-01   878
2014-07-01   857
2014-10-01   953
2015-01-01   937
2015-04-01   916
2015-07-01   887
2015-10-01  1072
2016-01-01   955
2016-04-01   900
2016-07-01  1022
2016-10-01   936
2017-01-01  1003
2017-04-01   885
2017-07-01  1028
2017-10-01   932
2018-01-01   989
2018-04-01   908
