Title:               Equifax Subprime Credit Population for Catawba County, NC
Series ID:           EQFXSUBPRIME037035
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  36.122017517366360
1999-04-01  36.287308657144315
1999-07-01  35.011061946902660
1999-10-01  35.246757119427464
2000-01-01  35.144605665778310
2000-04-01  34.567298300449310
2000-07-01  35.230769230769230
2000-10-01  33.474746572589645
2001-01-01  34.530161888396490
2001-04-01  33.698361823361820
2001-07-01  33.729906457179180
2001-10-01  33.508135000672310
2002-01-01  34.280523594354120
2002-04-01  34.150960827790094
2002-07-01  34.168035030103994
2002-10-01  34.192377495462790
2003-01-01  34.853329626025310
2003-04-01  34.761482035228710
2003-07-01  35.206681766704420
2003-10-01  35.203645684990030
2004-01-01  36.156037271278905
2004-04-01  35.387068035823134
2004-07-01  35.115890083632020
2004-10-01  35.510745053488590
2005-01-01  35.209558480350980
2005-04-01  34.631099422345370
2005-07-01  34.798499567182840
2005-10-01  34.962567354918700
2006-01-01  34.361929547355700
2006-04-01  33.425677823697710
2006-07-01  34.086869331388726
2006-10-01  33.872180451127820
2007-01-01  33.818044473820876
2007-04-01  33.565978038339850
2007-07-01  33.801902110879150
2007-10-01  34.633904194589230
2008-01-01  36.088125230590840
2008-04-01  36.063989692935365
2008-07-01  35.861848075588530
2008-10-01  35.932312305879830
2009-01-01  35.647218453188600
2009-04-01  35.466259008517140
2009-07-01  35.489643205726060
2009-10-01  35.681140205502150
2010-01-01  35.480833148681580
2010-04-01  34.785983588378800
2010-07-01  34.498321316528155
2010-10-01  34.840512989148310
2011-01-01  34.477652865368796
2011-04-01  34.192449304830470
2011-07-01  34.167309599911825
2011-10-01  34.434406695117220
2012-01-01  33.871236067210110
2012-04-01  33.462646863223235
2012-07-01  33.449844651575674
2012-10-01  33.938123862571004
2013-01-01  32.849540396710210
2013-04-01  32.441329510459800
2013-07-01  32.390474276527330
2013-10-01  32.157137145141945
2014-01-01  31.571442619726618
2014-04-01  31.504841664485740
2014-07-01  31.051182707993476
2014-10-01  31.546630429311996
2015-01-01  30.945573112616003
2015-04-01  29.554862779169010
2015-07-01  30.013179237631793
2015-10-01  30.297350691454334
2016-01-01  29.480871573451150
2016-04-01  29.235217868182270
2016-07-01  28.695981804397270
2016-10-01  28.991419327612880
2017-01-01  28.651132261240562
2017-04-01  28.266965787997755
2017-07-01  28.326622342916004
2017-10-01  28.773982218062706
2018-01-01  28.195061961971430
2018-04-01  28.298306371269984
2018-07-01  28.656855874795607
