Title:               Number of Private Establishments for All Industries in Stanly County, NC
Series ID:           ENU3716720510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  1071
1990-04-01  1086
1990-07-01  1084
1990-10-01  1072
1991-01-01  1109
1991-04-01  1114
1991-07-01  1113
1991-10-01  1121
1992-01-01  1116
1992-04-01  1113
1992-07-01  1126
1992-10-01  1129
1993-01-01  1121
1993-04-01  1133
1993-07-01  1131
1993-10-01  1144
1994-01-01  1123
1994-04-01  1125
1994-07-01  1131
1994-10-01  1137
1995-01-01  1140
1995-04-01  1145
1995-07-01  1151
1995-10-01  1165
1996-01-01  1157
1996-04-01  1169
1996-07-01  1188
1996-10-01  1188
1997-01-01  1185
1997-04-01  1197
1997-07-01  1218
1997-10-01  1222
1998-01-01  1221
1998-04-01  1223
1998-07-01  1248
1998-10-01  1255
1999-01-01  1255
1999-04-01  1285
1999-07-01  1325
1999-10-01  1352
2000-01-01  1338
2000-04-01  1371
2000-07-01  1299
2000-10-01  1304
2001-01-01  1267
2001-04-01  1273
2001-07-01  1274
2001-10-01  1272
2002-01-01  1289
2002-04-01  1282
2002-07-01  1285
2002-10-01  1290
2003-01-01  1264
2003-04-01  1265
2003-07-01  1279
2003-10-01  1296
2004-01-01  1279
2004-04-01  1285
2004-07-01  1284
2004-10-01  1299
2005-01-01  1287
2005-04-01  1277
2005-07-01  1283
2005-10-01  1291
2006-01-01  1312
2006-04-01  1312
2006-07-01  1330
2006-10-01  1328
2007-01-01  1357
2007-04-01  1366
2007-07-01  1373
2007-10-01  1372
2008-01-01  1372
2008-04-01  1355
2008-07-01  1358
2008-10-01  1359
2009-01-01  1349
2009-04-01  1339
2009-07-01  1348
2009-10-01  1353
2010-01-01  1356
2010-04-01  1342
2010-07-01  1330
2010-10-01  1348
2011-01-01  1333
2011-04-01  1332
2011-07-01  1339
2011-10-01  1340
2012-01-01  1343
2012-04-01  1338
2012-07-01  1336
2012-10-01  1338
2013-01-01  1313
2013-04-01  1300
2013-07-01  1289
2013-10-01  1296
2014-01-01  1280
2014-04-01  1271
2014-07-01  1272
2014-10-01  1265
2015-01-01  1287
2015-04-01  1299
2015-07-01  1278
2015-10-01  1291
2016-01-01  1263
2016-04-01  1275
2016-07-01  1271
2016-10-01  1287
2017-01-01  1278
2017-04-01  1284
2017-07-01  1278
2017-10-01  1284
2018-01-01  1269
