Title:               Equifax Subprime Credit Population for Alleghany County, NC
Series ID:           EQFXSUBPRIME037005
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  30.230769230769234
1999-04-01  28.617106314948042
1999-07-01  27.201257861635220
1999-10-01  28.680203045685282
2000-01-01  30.337078651685395
2000-04-01  30.000000000000000
2000-07-01  27.862939585211905
2000-10-01  25.508474576271183
2001-01-01  26.707000864304238
2001-04-01  29.061371841155236
2001-07-01  30.102516309412863
2001-10-01  28.449096098953380
2002-01-01  29.272898961284234
2002-04-01  29.216589861751153
2002-07-01  29.170464904284408
2002-10-01  30.064754856614247
2003-01-01  30.317164179104477
2003-04-01  30.204460966542750
2003-07-01  31.083650190114070
2003-10-01  30.028598665395617
2004-01-01  29.206963249516445
2004-04-01  28.907721280602637
2004-07-01  29.519230769230770
2004-10-01  28.475551294343244
2005-01-01  28.772258669165886
2005-04-01  28.086710650329877
2005-07-01  29.201877934272304
2005-10-01  30.910763569457224
2006-01-01  31.037649219467400
2006-04-01  29.714811407543700
2006-07-01  29.017857142857146
2006-10-01  28.300180831826400
2007-01-01  28.353948620361564
2007-04-01  27.634011090573010
2007-07-01  27.281021897810220
2007-10-01  27.537593984962406
2008-01-01  28.497409326424872
2008-04-01  28.527291452111225
2008-07-01  28.305785123966942
2008-10-01  27.995867768595040
2009-01-01  27.840327533265096
2009-04-01  27.337398373983740
2009-07-01  28.844221105527640
2009-10-01  28.676470588235293
2010-01-01  28.919491525423730
2010-04-01  28.361344537815125
2010-07-01  27.931769722814497
2010-10-01  27.934782608695652
2011-01-01  28.864864864864863
2011-04-01  29.368421052631575
2011-07-01  28.874734607218684
2011-10-01  28.253968253968253
2012-01-01  28.419936373276776
2012-04-01  27.634408602150540
2012-07-01  27.436440677966100
2012-10-01  28.480340063761954
2013-01-01  28.747433264887060
2013-04-01  27.254509018036070
2013-07-01  27.744510978043913
2013-10-01  26.956521739130434
2014-01-01  25.222551928783382
2014-04-01  25.380710659898476
2014-07-01  25.463414634146343
2014-10-01  25.730994152046783
2015-01-01  24.878993223620522
2015-04-01  26.893203883495147
2015-07-01  26.147704590818364
2015-10-01  26.559356136820927
2016-01-01  27.687626774847867
2016-04-01  25.944841675178754
2016-07-01  24.444444444444443
2016-10-01  23.960396039603960
2017-01-01  23.790720631786773
2017-04-01  24.779627815866796
2017-07-01  23.175542406311635
2017-10-01  23.747494989979960
2018-01-01  22.577422577422578
2018-04-01  21.908471275559883
2018-07-01  20.596727622714150
