Title:               Average Weekly Wages for Employees in Federal Government Establishments in Goldsboro, NC (MSA)
Series ID:           ENUC241440110
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   442
1990-04-01   415
1990-07-01   467
1990-10-01   454
1991-01-01   429
1991-04-01   452
1991-07-01   442
1991-10-01   480
1992-01-01   493
1992-04-01   468
1992-07-01   523
1992-10-01   510
1993-01-01   586
1993-04-01   542
1993-07-01   614
1993-10-01   518
1994-01-01   578
1994-04-01   508
1994-07-01   693
1994-10-01   582
1995-01-01   598
1995-04-01   437
1995-07-01   551
1995-10-01   540
1996-01-01   553
1996-04-01   564
1996-07-01   593
1996-10-01   593
1997-01-01   527
1997-04-01   569
1997-07-01   516
1997-10-01   584
1998-01-01   514
1998-04-01   570
1998-07-01   515
1998-10-01   579
1999-01-01   510
1999-04-01   590
1999-07-01   533
1999-10-01   543
2000-01-01   605
2000-04-01   572
2000-07-01   597
2000-10-01   598
2001-01-01   654
2001-04-01   635
2001-07-01   599
2001-10-01   637
2002-01-01   644
2002-04-01   653
2002-07-01   686
2002-10-01   656
2003-01-01   717
2003-04-01   685
2003-07-01   695
2003-10-01   692
2004-01-01   735
2004-04-01   690
2004-07-01   725
2004-10-01   707
2005-01-01   719
2005-04-01   741
2005-07-01   754
2005-10-01   781
2006-01-01   714
2006-04-01   790
2006-07-01   722
2006-10-01   789
2007-01-01   730
2007-04-01   777
2007-07-01   738
2007-10-01   742
2008-01-01   663
2008-04-01   839
2008-07-01   740
2008-10-01   871
2009-01-01   802
2009-04-01   893
2009-07-01   793
2009-10-01   913
2010-01-01   823
2010-04-01   888
2010-07-01   822
2010-10-01   982
2011-01-01   850
2011-04-01   980
2011-07-01   957
2011-10-01   880
2012-01-01   969
2012-04-01   895
2012-07-01   958
2012-10-01   897
2013-01-01   999
2013-04-01   899
2013-07-01   918
2013-10-01   857
2014-01-01  1033
2014-04-01   919
2014-07-01  1006
2014-10-01   917
2015-01-01  1039
2015-04-01   939
2015-07-01  1026
2015-10-01   936
2016-01-01   924
2016-04-01   930
2016-07-01  1047
2016-10-01  1037
2017-01-01   954
2017-04-01  1093
2017-07-01   968
2017-10-01  1081
2018-01-01   962
