Title:               Equifax Subprime Credit Population for Moore County, NC
Series ID:           EQFXSUBPRIME037125
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  28.858784893267654
1999-04-01  29.037118202985890
1999-07-01  29.041095890410958
1999-10-01  29.970157737672302
2000-01-01  29.267247536066275
2000-04-01  29.389473684210525
2000-07-01  29.365402908003810
2000-10-01  27.098804279421017
2001-01-01  27.652652652652655
2001-04-01  27.011922503725780
2001-07-01  27.294862429997560
2001-10-01  27.881749910597208
2002-01-01  28.116045845272208
2002-04-01  27.940128296507480
2002-07-01  27.488648271044358
2002-10-01  28.167381476759010
2003-01-01  28.383921246923710
2003-04-01  28.018757327080890
2003-07-01  27.872634979233960
2003-10-01  27.335007992692397
2004-01-01  27.795937427037128
2004-04-01  27.665178060231305
2004-07-01  27.359873688959063
2004-10-01  27.057802841340420
2005-01-01  27.330208219775425
2005-04-01  27.097542492151135
2005-07-01  27.476107732406600
2005-10-01  26.848667239896816
2006-01-01  26.391886059559777
2006-04-01  26.116729877791823
2006-07-01  25.949168497019144
2006-10-01  25.807136788445202
2007-01-01  26.055143160127255
2007-04-01  25.325007677346710
2007-07-01  25.953964194373402
2007-10-01  26.535523699905827
2008-01-01  26.466502831499090
2008-04-01  26.159435776875400
2008-07-01  25.884091628839860
2008-10-01  25.644533305272020
2009-01-01  25.553191489361705
2009-04-01  25.088452878739144
2009-07-01  24.986720492935300
2009-10-01  24.914675767918087
2010-01-01  24.828178694158076
2010-04-01  24.258327085787727
2010-07-01  24.201252520963802
2010-10-01  24.525516659637283
2011-01-01  25.037593984962410
2011-04-01  24.586776859504134
2011-07-01  24.503166630268616
2011-10-01  24.980959634424980
2012-01-01  24.713709237648597
2012-04-01  24.297844546048335
2012-07-01  23.823975720789075
2012-10-01  24.174515535346973
2013-01-01  23.979427836708453
2013-04-01  23.515691263782866
2013-07-01  24.002021222839820
2013-10-01  23.836858006042300
2014-01-01  23.253713368125250
2014-04-01  23.012301230123010
2014-07-01  23.030121683622582
2014-10-01  23.731299501320034
2015-01-01  23.329105278563762
2015-04-01  22.778047595920352
2015-07-01  22.829239992264550
2015-10-01  23.250216616925000
2016-01-01  22.467469879518074
2016-04-01  22.219006271104680
2016-07-01  22.187588551997734
2016-10-01  22.581838357684482
2017-01-01  21.825949661001207
2017-04-01  21.359312111233077
2017-07-01  21.691815272062183
2017-10-01  21.865596790371114
2018-01-01  20.896754080322758
2018-04-01  20.585276634659350
2018-07-01  20.498188405797100
