Title:               Equifax Subprime Credit Population for Dare County, NC
Series ID:           EQFXSUBPRIME037055
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  31.709297604547300
1999-04-01  31.435445068163590
1999-07-01  31.019436731455773
1999-10-01  31.395808620007910
2000-01-01  31.664680174811284
2000-04-01  31.079523626584710
2000-07-01  30.505279034690800
2000-10-01  28.009742519137090
2001-01-01  29.353886520170548
2001-04-01  29.143956396280856
2001-07-01  28.481609556743166
2001-10-01  28.408741151123422
2002-01-01  29.280618311533890
2002-04-01  28.616714697406344
2002-07-01  27.820583379196478
2002-10-01  27.977839335180054
2003-01-01  28.759820426487092
2003-04-01  28.427249789739278
2003-07-01  28.178789561354805
2003-10-01  28.277912949445792
2004-01-01  28.637602179836513
2004-04-01  27.231427044361308
2004-07-01  26.361419669466270
2004-10-01  25.849987023098887
2005-01-01  25.635103926096996
2005-04-01  25.660476065916820
2005-07-01  25.592293673522520
2005-10-01  24.816369359916056
2006-01-01  24.829931972789115
2006-04-01  25.353218210361067
2006-07-01  25.242718446601940
2006-10-01  25.768629494528400
2007-01-01  26.289989680082560
2007-04-01  26.244787834191808
2007-07-01  26.370370370370370
2007-10-01  28.068803752931977
2008-01-01  28.668110449377370
2008-04-01  28.449227373068430
2008-07-01  27.317339149400215
2008-10-01  27.806752676365633
2009-01-01  27.417551704863050
2009-04-01  27.483443708609272
2009-07-01  26.830601092896174
2009-10-01  27.906343588347397
2010-01-01  28.067273228563550
2010-04-01  27.846705266060106
2010-07-01  27.144827586206898
2010-10-01  27.575840393550150
2011-01-01  26.808393152954167
2011-04-01  27.133479212253830
2011-07-01  26.602739726027398
2011-10-01  26.861111111111114
2012-01-01  27.050997782705100
2012-04-01  26.759388038942976
2012-07-01  27.186629526462397
2012-10-01  26.556016597510375
2013-01-01  26.734302166163970
2013-04-01  26.568063544234455
2013-07-01  26.021337496747332
2013-10-01  25.908496732026144
2014-01-01  25.809822361546498
2014-04-01  26.033810143042913
2014-07-01  25.267720550739420
2014-10-01  25.664621676891613
2015-01-01  25.076297049847410
2015-04-01  24.838227974116474
2015-07-01  24.027743373792422
2015-10-01  23.579051873914120
2016-01-01  23.663366336633660
2016-04-01  22.301626416954164
2016-07-01  21.423366529025990
2016-10-01  21.711949987977880
2017-01-01  21.923828125000000
2017-04-01  21.574415744157440
2017-07-01  21.099375900144025
2017-10-01  22.064231429271880
2018-01-01  21.511198621708097
2018-04-01  21.483123922148312
2018-07-01  21.273445212240870
