Title:               Average Weekly Wages for Employees in Local Government Establishments in Greensboro-High Point, NC (MSA)
Series ID:           ENUC246640310
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   377
1990-04-01   384
1990-07-01   337
1990-10-01   402
1991-01-01   394
1991-04-01   413
1991-07-01   356
1991-10-01   407
1992-01-01   399
1992-04-01   408
1992-07-01   364
1992-10-01   403
1993-01-01   416
1993-04-01   435
1993-07-01   374
1993-10-01   439
1994-01-01   429
1994-04-01   439
1994-07-01   448
1994-10-01   453
1995-01-01   449
1995-04-01   470
1995-07-01   461
1995-10-01   481
1996-01-01   460
1996-04-01   472
1996-07-01   469
1996-10-01   502
1997-01-01   477
1997-04-01   483
1997-07-01   486
1997-10-01   509
1998-01-01   479
1998-04-01   496
1998-07-01   483
1998-10-01   501
1999-01-01   463
1999-04-01   459
1999-07-01   503
1999-10-01   485
2000-01-01   531
2000-04-01   542
2000-07-01   561
2000-10-01   578
2001-01-01   569
2001-04-01   576
2001-07-01   570
2001-10-01   622
2002-01-01   591
2002-04-01   591
2002-07-01   605
2002-10-01   631
2003-01-01   609
2003-04-01   610
2003-07-01   629
2003-10-01   665
2004-01-01   621
2004-04-01   622
2004-07-01   646
2004-10-01   675
2005-01-01   621
2005-04-01   638
2005-07-01   715
2005-10-01   683
2006-01-01   641
2006-04-01   653
2006-07-01   697
2006-10-01   723
2007-01-01   684
2007-04-01   688
2007-07-01   730
2007-10-01   760
2008-01-01   714
2008-04-01   690
2008-07-01   774
2008-10-01   781
2009-01-01   744
2009-04-01   710
2009-07-01   747
2009-10-01   774
2010-01-01   718
2010-04-01   698
2010-07-01   755
2010-10-01   773
2011-01-01   729
2011-04-01   694
2011-07-01   773
2011-10-01   747
2012-01-01   746
2012-04-01   688
2012-07-01   773
2012-10-01   744
2013-01-01   733
2013-04-01   695
2013-07-01   767
2013-10-01   730
2014-01-01   725
2014-04-01   689
2014-07-01   785
2014-10-01   755
2015-01-01   747
2015-04-01   713
2015-07-01   779
2015-10-01   816
2016-01-01   732
2016-04-01   730
2016-07-01   807
2016-10-01   798
2017-01-01   762
2017-04-01   761
2017-07-01   794
2017-10-01   830
2018-01-01   783
