Title:               Equifax Subprime Credit Population for Alamance County, NC
Series ID:           EQFXSUBPRIME037001
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  38.571588868940750
1999-04-01  38.831788823364220
1999-07-01  37.666249857906100
1999-10-01  38.398074939841870
2000-01-01  38.804142077719625
2000-04-01  38.370543152282570
2000-07-01  39.077568134171905
2000-10-01  37.913756453082300
2001-01-01  38.320091940238840
2001-04-01  37.687821273230526
2001-07-01  37.674535409342040
2001-10-01  37.971814329358430
2002-01-01  38.329262822110350
2002-04-01  38.130101409844170
2002-07-01  38.400672568122250
2002-10-01  38.755020080321290
2003-01-01  39.139476159825710
2003-04-01  38.753509827517050
2003-07-01  39.657955806679446
2003-10-01  39.330626794732154
2004-01-01  40.828372258688240
2004-04-01  38.417971538717815
2004-07-01  38.771517996870110
2004-10-01  39.023682938617690
2005-01-01  38.543601466876220
2005-04-01  38.454239218105040
2005-07-01  38.558489480998700
2005-10-01  38.344873062973950
2006-01-01  37.859424920127790
2006-04-01  37.418004187020240
2006-07-01  37.495390855457230
2006-10-01  37.895943815393440
2007-01-01  38.345139993253330
2007-04-01  36.902071563088510
2007-07-01  37.110775618041140
2007-10-01  37.492668621700880
2008-01-01  40.270772498009030
2008-04-01  40.133832976445390
2008-07-01  39.780091363008610
2008-10-01  39.974382238351920
2009-01-01  40.085878899880420
2009-04-01  39.846575342465750
2009-07-01  39.693103068969310
2009-10-01  40.077384624011664
2010-01-01  39.616884217664010
2010-04-01  38.282708297980655
2010-07-01  37.920351489889030
2010-10-01  38.210744496106660
2011-01-01  37.763843009909856
2011-04-01  37.514035481697730
2011-07-01  37.565452395698440
2011-10-01  37.716419599411566
2012-01-01  37.159400544959130
2012-04-01  37.068818548616240
2012-07-01  37.013281870813940
2012-10-01  37.550813008130080
2013-01-01  35.792745003482830
2013-04-01  35.282772999739380
2013-07-01  34.953885400313970
2013-10-01  34.640459277999410
2014-01-01  34.056954987187545
2014-04-01  33.749818393142526
2014-07-01  33.330157217722730
2014-10-01  33.833239011507260
2015-01-01  32.981893192757276
2015-04-01  32.131044962903374
2015-07-01  32.682993074102576
2015-10-01  32.845726669375594
2016-01-01  32.106218792555610
2016-04-01  31.921629806368724
2016-07-01  31.113895610093330
2016-10-01  31.068790298475594
2017-01-01  30.863876613811630
2017-04-01  30.369456031327147
2017-07-01  30.544945250827602
2017-10-01  31.003391868103560
2018-01-01  30.435542352889783
2018-04-01  30.129641836958910
2018-07-01  30.180061484409310
