Title:               Number of Private Establishments for All Industries in Gaston County, NC
Series ID:           ENU3707120510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01  3107
1990-04-01  3178
1990-07-01  3203
1990-10-01  3239
1991-01-01  3333
1991-04-01  3298
1991-07-01  3328
1991-10-01  3354
1992-01-01  3313
1992-04-01  3333
1992-07-01  3335
1992-10-01  3373
1993-01-01  3364
1993-04-01  3401
1993-07-01  3426
1993-10-01  3463
1994-01-01  3431
1994-04-01  3473
1994-07-01  3467
1994-10-01  3507
1995-01-01  3511
1995-04-01  3565
1995-07-01  3588
1995-10-01  3636
1996-01-01  3636
1996-04-01  3654
1996-07-01  3681
1996-10-01  3718
1997-01-01  3746
1997-04-01  3797
1997-07-01  3818
1997-10-01  3802
1998-01-01  3831
1998-04-01  3847
1998-07-01  3852
1998-10-01  3862
1999-01-01  3895
1999-04-01  3970
1999-07-01  4023
1999-10-01  4082
2000-01-01  4069
2000-04-01  4074
2000-07-01  4070
2000-10-01  4087
2001-01-01  4010
2001-04-01  4027
2001-07-01  4030
2001-10-01  4017
2002-01-01  4071
2002-04-01  4057
2002-07-01  4056
2002-10-01  4047
2003-01-01  3865
2003-04-01  3817
2003-07-01  3812
2003-10-01  3823
2004-01-01  3802
2004-04-01  3823
2004-07-01  3827
2004-10-01  3846
2005-01-01  3764
2005-04-01  3801
2005-07-01  3812
2005-10-01  3843
2006-01-01  3868
2006-04-01  3907
2006-07-01  3918
2006-10-01  3917
2007-01-01  4045
2007-04-01  4062
2007-07-01  4069
2007-10-01  4114
2008-01-01  4099
2008-04-01  4094
2008-07-01  4119
2008-10-01  4130
2009-01-01  4093
2009-04-01  4029
2009-07-01  3991
2009-10-01  3978
2010-01-01  3925
2010-04-01  3945
2010-07-01  3949
2010-10-01  3960
2011-01-01  3942
2011-04-01  3938
2011-07-01  3962
2011-10-01  4023
2012-01-01  3999
2012-04-01  4020
2012-07-01  4007
2012-10-01  3986
2013-01-01  3913
2013-04-01  3967
2013-07-01  3939
2013-10-01  3964
2014-01-01  3969
2014-04-01  3986
2014-07-01  3982
2014-10-01  3989
2015-01-01  4016
2015-04-01  4022
2015-07-01  4030
2015-10-01  4051
2016-01-01  4080
2016-04-01  4146
2016-07-01  4072
2016-10-01  4137
2017-01-01  4157
2017-04-01  4162
2017-07-01  4197
2017-10-01  4193
2018-01-01  4199
