Title:               Equifax Subprime Credit Population for Perquimans County, NC
Series ID:           EQFXSUBPRIME037143
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  41.707317073170730
1999-04-01  41.003316749585410
1999-07-01  39.261744966442954
1999-10-01  39.308855291576670
2000-01-01  38.802083333333330
2000-04-01  37.820782498948255
2000-07-01  38.266199649737300
2000-10-01  35.233160621761655
2001-01-01  35.737009544008490
2001-04-01  35.332966428178320
2001-07-01  34.432870370370374
2001-10-01  33.770678836280660
2002-01-01  34.371257485029936
2002-04-01  34.225264467952710
2002-07-01  35.335463258785940
2002-10-01  34.965473948524796
2003-01-01  34.898891063274625
2003-04-01  33.748361730013100
2003-07-01  34.526176275679260
2003-10-01  33.754993342210390
2004-01-01  35.575589459084604
2004-04-01  34.607366226546210
2004-07-01  33.639575971731450
2004-10-01  34.829059829059830
2005-01-01  34.596491228070180
2005-04-01  33.333333333333330
2005-07-01  33.796940194714880
2005-10-01  34.315789473684210
2006-01-01  34.036568213783404
2006-04-01  33.519163763066200
2006-07-01  34.135977337110480
2006-10-01  33.979885057471265
2007-01-01  33.620071684587810
2007-04-01  33.379215416379910
2007-07-01  35.048678720445070
2007-10-01  35.363169479090240
2008-01-01  36.119631901840490
2008-04-01  36.138996138996134
2008-07-01  36.245210727969350
2008-10-01  37.519500780031200
2009-01-01  37.156323644933230
2009-04-01  35.943617854346120
2009-07-01  35.074045206547154
2009-10-01  34.964483030781370
2010-01-01  34.789391575663025
2010-04-01  34.208494208494210
2010-07-01  34.752851711026615
2010-10-01  35.000000000000000
2011-01-01  34.001542020046260
2011-04-01  33.538936006168080
2011-07-01  35.050741608118656
2011-10-01  35.736925515055470
2012-01-01  35.247836349331240
2012-04-01  35.426356589147280
2012-07-01  36.145510835913310
2012-10-01  35.298681148176880
2013-01-01  34.558248631743550
2013-04-01  33.819018404907970
2013-07-01  34.036144578313255
2013-10-01  33.900814211695040
2014-01-01  33.019551049963795
2014-04-01  32.537960954446850
2014-07-01  32.467532467532465
2014-10-01  32.253313696612665
2015-01-01  33.259749816041210
2015-04-01  34.156976744186046
2015-07-01  32.335766423357660
2015-10-01  31.454005934718097
2016-01-01  31.578947368421050
2016-04-01  32.615156017830610
2016-07-01  31.747211895910780
2016-10-01  32.068452380952390
2017-01-01  31.669150521609540
2017-04-01  30.832095096582467
2017-07-01  30.210602759622370
2017-10-01  30.774748923959827
2018-01-01  30.819912152269403
2018-04-01  31.334760885082087
2018-07-01  30.431705590941260
