Title:               Number of Private Establishments for All Industries in Franklin County, NC
Series ID:           ENU3706920510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   488
1990-04-01   493
1990-07-01   499
1990-10-01   504
1991-01-01   501
1991-04-01   512
1991-07-01   522
1991-10-01   518
1992-01-01   508
1992-04-01   513
1992-07-01   522
1992-10-01   515
1993-01-01   533
1993-04-01   543
1993-07-01   539
1993-10-01   554
1994-01-01   561
1994-04-01   568
1994-07-01   579
1994-10-01   584
1995-01-01   592
1995-04-01   592
1995-07-01   599
1995-10-01   614
1996-01-01   614
1996-04-01   626
1996-07-01   640
1996-10-01   653
1997-01-01   653
1997-04-01   659
1997-07-01   665
1997-10-01   661
1998-01-01   668
1998-04-01   679
1998-07-01   683
1998-10-01   686
1999-01-01   692
1999-04-01   696
1999-07-01   715
1999-10-01   728
2000-01-01   742
2000-04-01   743
2000-07-01   754
2000-10-01   766
2001-01-01   782
2001-04-01   789
2001-07-01   797
2001-10-01   808
2002-01-01   847
2002-04-01   857
2002-07-01   867
2002-10-01   878
2003-01-01   864
2003-04-01   868
2003-07-01   874
2003-10-01   876
2004-01-01   878
2004-04-01   884
2004-07-01   888
2004-10-01   893
2005-01-01   907
2005-04-01   889
2005-07-01   907
2005-10-01   920
2006-01-01   926
2006-04-01   934
2006-07-01   945
2006-10-01   954
2007-01-01   970
2007-04-01   979
2007-07-01  1008
2007-10-01  1027
2008-01-01  1035
2008-04-01  1016
2008-07-01  1028
2008-10-01  1029
2009-01-01  1036
2009-04-01  1007
2009-07-01  1010
2009-10-01  1014
2010-01-01  1029
2010-04-01  1041
2010-07-01  1047
2010-10-01  1065
2011-01-01  1070
2011-04-01  1051
2011-07-01  1061
2011-10-01  1051
2012-01-01  1045
2012-04-01  1050
2012-07-01  1027
2012-10-01  1035
2013-01-01   995
2013-04-01   997
2013-07-01   994
2013-10-01  1002
2014-01-01  1022
2014-04-01  1013
2014-07-01  1013
2014-10-01  1007
2015-01-01  1011
2015-04-01  1024
2015-07-01  1026
2015-10-01  1045
2016-01-01  1062
2016-04-01  1066
2016-07-01  1056
2016-10-01  1064
2017-01-01  1071
2017-04-01  1078
2017-07-01  1086
2017-10-01  1102
2018-01-01  1106
