Title:               Equifax Subprime Credit Population for Henderson County, NC
Series ID:           EQFXSUBPRIME037089
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  29.436289411969080
1999-04-01  29.425961041199795
1999-07-01  28.325589399414902
1999-10-01  28.401953942777393
2000-01-01  28.264743317776837
2000-04-01  28.174914899188270
2000-07-01  27.975714970442560
2000-10-01  26.027602760276025
2001-01-01  26.366393018267882
2001-04-01  25.635429134689850
2001-07-01  25.324582679412185
2001-10-01  24.885474663471705
2002-01-01  25.554217720801760
2002-04-01  25.353440150801130
2002-07-01  25.204855842185133
2002-10-01  24.978179798460683
2003-01-01  25.560355367185590
2003-04-01  25.704697986577180
2003-07-01  25.646089121662230
2003-10-01  25.308008213552363
2004-01-01  25.979961328880297
2004-04-01  25.025835342748880
2004-07-01  25.096733555295597
2004-10-01  25.427655024946542
2005-01-01  24.969749351771824
2005-04-01  23.704695739516197
2005-07-01  23.953056399864910
2005-10-01  24.886204481792717
2006-01-01  24.935732647814910
2006-04-01  24.915011629987475
2006-07-01  24.483065953654190
2006-10-01  24.168030551009277
2007-01-01  24.824917065978620
2007-04-01  24.038030316620322
2007-07-01  24.595205789235642
2007-10-01  24.587847385774847
2008-01-01  25.391575055939292
2008-04-01  25.616397663134965
2008-07-01  25.476970514550008
2008-10-01  25.267109442679757
2009-01-01  25.261324041811843
2009-04-01  24.841681059297642
2009-07-01  25.150100066711140
2009-10-01  25.315845308130000
2010-01-01  25.162227602905567
2010-04-01  25.000000000000000
2010-07-01  25.011928619143050
2010-10-01  24.868534276699496
2011-01-01  24.632563466310366
2011-04-01  24.012908124525440
2011-07-01  23.648712385624000
2011-10-01  24.162610936158030
2012-01-01  23.808175210044368
2012-04-01  23.214452869044276
2012-07-01  22.827303245057813
2012-10-01  23.252123588163915
2013-01-01  23.092536211827660
2013-04-01  22.603238129889032
2013-07-01  22.884918549658433
2013-10-01  22.849415459780143
2014-01-01  22.659758203799655
2014-04-01  22.389969293756398
2014-07-01  22.409392547217970
2014-10-01  22.639919082939986
2015-01-01  22.237995824634655
2015-04-01  22.315096251266464
2015-07-01  22.225955480890384
2015-10-01  21.943076537851600
2016-01-01  21.870336594262973
2016-04-01  21.658909574468087
2016-07-01  21.528282094730898
2016-10-01  21.518783685946424
2017-01-01  20.888222765638560
2017-04-01  20.849693733312392
2017-07-01  21.121699734416495
2017-10-01  20.908589005442067
2018-01-01  20.216351806851140
2018-04-01  20.200372786579685
2018-07-01  20.214324261814816
