Title:               Equifax Subprime Credit Population for Halifax County, NC
Series ID:           EQFXSUBPRIME037083
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  43.591827257952170
1999-04-01  43.582695984703630
1999-07-01  42.165844491425890
1999-10-01  42.597851586615630
2000-01-01  42.918346774193550
2000-04-01  42.047165077772206
2000-07-01  41.823739174732550
2000-10-01  40.127310564328560
2001-01-01  40.882723833543510
2001-04-01  40.719084349340630
2001-07-01  39.840944073884046
2001-10-01  40.404797601199400
2002-01-01  40.583554376657830
2002-04-01  41.388924090736280
2002-07-01  41.412848733043255
2002-10-01  42.007434944237920
2003-01-01  42.908176766340300
2003-04-01  42.717143240703450
2003-07-01  43.275013668671406
2003-10-01  43.319113802119170
2004-01-01  44.200925673836100
2004-04-01  43.551738467931840
2004-07-01  43.655673560648400
2004-10-01  43.860404997845760
2005-01-01  42.406446326140404
2005-04-01  43.697478991596640
2005-07-01  42.877311873499930
2005-10-01  42.706746086715610
2006-01-01  43.203680468423260
2006-04-01  42.847202894517120
2006-07-01  42.258830099120480
2006-10-01  41.944245889921370
2007-01-01  41.129595973717320
2007-04-01  40.506677681398870
2007-07-01  41.184747432109184
2007-10-01  41.998218527315920
2008-01-01  45.182887001959510
2008-04-01  45.321733420879845
2008-07-01  44.936184319575666
2008-10-01  45.248562732499150
2009-01-01  45.437262357414450
2009-04-01  44.547848990342400
2009-07-01  44.496937882764655
2009-10-01  45.213705404450720
2010-01-01  44.966204197794380
2010-04-01  44.542190305206460
2010-07-01  44.954792043399635
2010-10-01  45.506933189267060
2011-01-01  44.761382336807460
2011-04-01  44.456621004566210
2011-07-01  44.150392407373610
2011-10-01  44.947735191637630
2012-01-01  44.460721479582496
2012-04-01  44.815017313650440
2012-07-01  44.587488667271080
2012-10-01  44.924677187948350
2013-01-01  43.855673697054210
2013-04-01  42.948056415548680
2013-07-01  42.755151711828650
2013-10-01  42.470362063441200
2014-01-01  42.258681108633326
2014-04-01  41.851368970013034
2014-07-01  42.615409889929350
2014-10-01  42.926750040604190
2015-01-01  42.316402458751210
2015-04-01  41.975106452669500
2015-07-01  42.406088082901555
2015-10-01  42.905955092743250
2016-01-01  42.528735632183900
2016-04-01  42.209106239460370
2016-07-01  41.162829219811165
2016-10-01  41.425464279738996
2017-01-01  41.412952060555085
2017-04-01  41.091091091091094
2017-07-01  40.937917222963954
2017-10-01  41.652810109743930
2018-01-01  41.226287262872630
2018-04-01  41.139562489401385
2018-07-01  41.634241245136190
