Title:               Average Weekly Wages for Employees in Local Government Establishments in Jacksonville, NC (MSA)
Series ID:           ENUC273440310
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   319
1990-04-01   333
1990-07-01   305
1990-10-01   341
1991-01-01   337
1991-04-01   354
1991-07-01   318
1991-10-01   340
1992-01-01   340
1992-04-01   347
1992-07-01   325
1992-10-01   363
1993-01-01   338
1993-04-01   370
1993-07-01   325
1993-10-01   365
1994-01-01   355
1994-04-01   362
1994-07-01   355
1994-10-01   372
1995-01-01   374
1995-04-01   386
1995-07-01   368
1995-10-01   404
1996-01-01   388
1996-04-01   402
1996-07-01   395
1996-10-01   412
1997-01-01   428
1997-04-01   443
1997-07-01   507
1997-10-01   432
1998-01-01   441
1998-04-01   465
1998-07-01   499
1998-10-01   482
1999-01-01   457
1999-04-01   470
1999-07-01   503
1999-10-01   496
2000-01-01   492
2000-04-01   519
2000-07-01   546
2000-10-01   519
2001-01-01   508
2001-04-01   544
2001-07-01   532
2001-10-01   538
2002-01-01   518
2002-04-01   582
2002-07-01   585
2002-10-01   535
2003-01-01   530
2003-04-01   584
2003-07-01   547
2003-10-01   566
2004-01-01   543
2004-04-01   594
2004-07-01   593
2004-10-01   571
2005-01-01   536
2005-04-01   625
2005-07-01   628
2005-10-01   581
2006-01-01   581
2006-04-01   649
2006-07-01   637
2006-10-01   622
2007-01-01   614
2007-04-01   695
2007-07-01   665
2007-10-01   663
2008-01-01   638
2008-04-01   722
2008-07-01   725
2008-10-01   707
2009-01-01   699
2009-04-01   724
2009-07-01   646
2009-10-01   733
2010-01-01   681
2010-04-01   682
2010-07-01   664
2010-10-01   727
2011-01-01   699
2011-04-01   757
2011-07-01   710
2011-10-01   738
2012-01-01   733
2012-04-01   733
2012-07-01   748
2012-10-01   735
2013-01-01   739
2013-04-01   742
2013-07-01   768
2013-10-01   738
2014-01-01   732
2014-04-01   742
2014-07-01   789
2014-10-01   794
2015-01-01   764
2015-04-01   733
2015-07-01   801
2015-10-01   874
2016-01-01   739
2016-04-01   750
2016-07-01   854
2016-10-01   858
2017-01-01   790
2017-04-01   761
2017-07-01   811
2017-10-01   862
2018-01-01   804
