Title:               Number of Private Establishments for All Industries in Brunswick County, NC
Series ID:           ENU3701920510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Establishments
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:25 AM CDT
Notes:               An establishment is an economic unit, such as a factory, mine, store,
                     or office that produces goods or services. It generally is at a single
                     location and is engaged predominantly in one type of economic
                     activity. Where a single location encompasses two or more distinct
                     activities, these are treated as separate establishments, if separate
                     payroll records are available, and the various activities are
                     classified under different industry codes.

DATE       VALUE
1990-01-01   968
1990-04-01   995
1990-07-01  1014
1990-10-01  1015
1991-01-01  1050
1991-04-01  1055
1991-07-01  1079
1991-10-01  1090
1992-01-01  1085
1992-04-01  1087
1992-07-01  1106
1992-10-01  1118
1993-01-01  1142
1993-04-01  1153
1993-07-01  1164
1993-10-01  1178
1994-01-01  1192
1994-04-01  1241
1994-07-01  1272
1994-10-01  1297
1995-01-01  1302
1995-04-01  1326
1995-07-01  1338
1995-10-01  1370
1996-01-01  1379
1996-04-01  1409
1996-07-01  1415
1996-10-01  1432
1997-01-01  1446
1997-04-01  1481
1997-07-01  1505
1997-10-01  1524
1998-01-01  1531
1998-04-01  1530
1998-07-01  1530
1998-10-01  1574
1999-01-01  1587
1999-04-01  1659
1999-07-01  1683
1999-10-01  1737
2000-01-01  1748
2000-04-01  1782
2000-07-01  1767
2000-10-01  1753
2001-01-01  1768
2001-04-01  1794
2001-07-01  1795
2001-10-01  1816
2002-01-01  1882
2002-04-01  1899
2002-07-01  1920
2002-10-01  1916
2003-01-01  1866
2003-04-01  1892
2003-07-01  1934
2003-10-01  1950
2004-01-01  1981
2004-04-01  2033
2004-07-01  2071
2004-10-01  2084
2005-01-01  2085
2005-04-01  2145
2005-07-01  2209
2005-10-01  2236
2006-01-01  2302
2006-04-01  2358
2006-07-01  2361
2006-10-01  2435
2007-01-01  2560
2007-04-01  2562
2007-07-01  2574
2007-10-01  2629
2008-01-01  2626
2008-04-01  2581
2008-07-01  2584
2008-10-01  2591
2009-01-01  2517
2009-04-01  2514
2009-07-01  2480
2009-10-01  2462
2010-01-01  2464
2010-04-01  2462
2010-07-01  2452
2010-10-01  2474
2011-01-01  2404
2011-04-01  2429
2011-07-01  2451
2011-10-01  2479
2012-01-01  2384
2012-04-01  2428
2012-07-01  2446
2012-10-01  2469
2013-01-01  2421
2013-04-01  2444
2013-07-01  2422
2013-10-01  2433
2014-01-01  2440
2014-04-01  2445
2014-07-01  2443
2014-10-01  2424
2015-01-01  2471
2015-04-01  2509
2015-07-01  2525
2015-10-01  2567
2016-01-01  2587
2016-04-01  2630
2016-07-01  2618
2016-10-01  2652
2017-01-01  2671
2017-04-01  2699
2017-07-01  2735
2017-10-01  2788
2018-01-01  2820
