Title:               Equifax Subprime Credit Population for Beaufort County, NC
Series ID:           EQFXSUBPRIME037013
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  38.547918683446280
1999-04-01  38.802083333333330
1999-07-01  37.851507181873360
1999-10-01  38.504441231150590
2000-01-01  38.311148086522465
2000-04-01  37.455976797182515
2000-07-01  38.856452587074690
2000-10-01  37.170491181490610
2001-01-01  38.208092485549130
2001-04-01  36.975591151792530
2001-07-01  37.485311398354874
2001-10-01  37.259018896736016
2002-01-01  36.973684210526315
2002-04-01  37.282961266933790
2002-07-01  38.000763067531480
2002-10-01  37.677494650846135
2003-01-01  38.641732283464570
2003-04-01  38.385043754972150
2003-07-01  38.447725458898640
2003-10-01  38.281095998423030
2004-01-01  38.303858520900320
2004-04-01  37.783977680350740
2004-07-01  38.272095332671300
2004-10-01  36.162833150784955
2005-01-01  36.289592760180994
2005-04-01  37.310278578290110
2005-07-01  37.286509307234695
2005-10-01  37.624694146433280
2006-01-01  37.288772061584680
2006-04-01  36.933604586646936
2006-07-01  36.760066802746330
2006-10-01  36.732026143790854
2007-01-01  36.392464092520060
2007-04-01  36.208811551277300
2007-07-01  36.960179472798660
2007-10-01  37.408265739667826
2008-01-01  37.800616649537510
2008-04-01  38.014981273408240
2008-07-01  37.379140094630735
2008-10-01  36.944790369447910
2009-01-01  36.199191317301555
2009-04-01  35.864709636247600
2009-07-01  36.319866024701696
2009-10-01  36.302237230899120
2010-01-01  36.542155816435430
2010-04-01  36.135181975736570
2010-07-01  36.293601540766105
2010-10-01  36.267983680480995
2011-01-01  35.424354243542430
2011-04-01  35.236647850629616
2011-07-01  35.672514619883040
2011-10-01  36.190887497300800
2012-01-01  35.233949945593030
2012-04-01  34.820647419072614
2012-07-01  35.085041430440470
2012-10-01  35.669205658324266
2013-01-01  35.021276595744680
2013-04-01  33.915421838838625
2013-07-01  34.107900585976964
2013-10-01  34.341209451341610
2014-01-01  33.801980198019805
2014-04-01  32.494372825864540
2014-07-01  32.931069748414810
2014-10-01  33.596597812879710
2015-01-01  33.319975956722100
2015-04-01  33.472057074910820
2015-07-01  33.410988157639295
2015-10-01  33.807205452775070
2016-01-01  33.196400625978090
2016-04-01  33.133253301320520
2016-07-01  32.464046021093004
2016-10-01  32.827715355805240
2017-01-01  32.003780718336486
2017-04-01  32.408456021140054
2017-07-01  31.901140684410645
2017-10-01  31.675491679273826
2018-01-01  30.819981149858620
2018-04-01  31.123114173961632
2018-07-01  30.905077262693160
