Title:               Average Weekly Wages for Employees in Local Government Establishments in Hickory-Lenoir-Morganton, NC (MSA)
Series ID:           ENUC258640310
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2012-10-01
Last Updated:        2016-09-21 1:55 PM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   367
1990-04-01   384
1990-07-01   372
1990-10-01   400
1991-01-01   389
1991-04-01   410
1991-07-01   362
1991-10-01   414
1992-01-01   392
1992-04-01   414
1992-07-01   393
1992-10-01   429
1993-01-01   402
1993-04-01   423
1993-07-01   402
1993-10-01   426
1994-01-01   413
1994-04-01   426
1994-07-01   426
1994-10-01   438
1995-01-01   426
1995-04-01   441
1995-07-01   434
1995-10-01   442
1996-01-01   430
1996-04-01   432
1996-07-01   434
1996-10-01   456
1997-01-01   445
1997-04-01   459
1997-07-01   469
1997-10-01   480
1998-01-01   459
1998-04-01   474
1998-07-01   530
1998-10-01   518
1999-01-01   473
1999-04-01   491
1999-07-01   528
1999-10-01   545
2000-01-01   517
2000-04-01   524
2000-07-01   540
2000-10-01   562
2001-01-01   534
2001-04-01   551
2001-07-01   539
2001-10-01   592
2002-01-01   547
2002-04-01   562
2002-07-01   548
2002-10-01   604
2003-01-01   559
2003-04-01   572
2003-07-01   564
2003-10-01     .
2004-01-01   558
2004-04-01   575
2004-07-01   602
2004-10-01   639
2005-01-01   582
2005-04-01   575
2005-07-01   627
2005-10-01   624
2006-01-01   608
2006-04-01   590
2006-07-01   633
2006-10-01   663
2007-01-01   634
2007-04-01   621
2007-07-01   678
2007-10-01   679
2008-01-01   655
2008-04-01   652
2008-07-01   697
2008-10-01   703
2009-01-01   665
2009-04-01   655
2009-07-01   706
2009-10-01   710
2010-01-01   667
2010-04-01   653
2010-07-01   714
2010-10-01   718
2011-01-01   665
2011-04-01   682
2011-07-01   715
2011-10-01   711
2012-01-01   679
2012-04-01   674
2012-07-01   717
2012-10-01   718
