Title:               Total Quarterly Wages in Rocky Mount, NC (MSA)
Series ID:           ENUC405830010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE            VALUE
1990-01-01  291189787
1990-04-01  294436282
1990-07-01  293517817
1990-10-01  293749560
1991-01-01  297384108
1991-04-01  299266886
1991-07-01  305041197
1991-10-01  311410940
1992-01-01  312661785
1992-04-01  317495888
1992-07-01  323023045
1992-10-01  333319941
1993-01-01  316279178
1993-04-01  335460783
1993-07-01  342454368
1993-10-01  349848953
1994-01-01  355822721
1994-04-01  352859659
1994-07-01  358442812
1994-10-01  355474575
1995-01-01  372897833
1995-04-01  378528958
1995-07-01  374497344
1995-10-01  384399608
1996-01-01  390950337
1996-04-01  392541445
1996-07-01  388313508
1996-10-01  397518913
1997-01-01  398297886
1997-04-01  403886164
1997-07-01  423946480
1997-10-01  412744144
1998-01-01  407718117
1998-04-01  422033712
1998-07-01  443112470
1998-10-01  446143084
1999-01-01  428489583
1999-04-01  438353182
1999-07-01  440799712
1999-10-01  455918743
2000-01-01  466032034
2000-04-01  461882196
2000-07-01  462311519
2000-10-01  457514020
2001-01-01  473525578
2001-04-01  500818143
2001-07-01  462819031
2001-10-01  451953783
2002-01-01  465783497
2002-04-01  455578911
2002-07-01  465802761
2002-10-01  460121783
2003-01-01  465232275
2003-04-01  465547307
2003-07-01  463094148
2003-10-01  471879264
2004-01-01  465840648
2004-04-01  479501234
2004-07-01  487919157
2004-10-01  492470206
2005-01-01  466475508
2005-04-01  480946729
2005-07-01  501873126
2005-10-01  499077565
2006-01-01  502101096
2006-04-01  498379094
2006-07-01  495258267
2006-10-01  507917405
2007-01-01  524197062
2007-04-01  521468860
2007-07-01  519640428
2007-10-01  527867026
2008-01-01  537452248
2008-04-01  531559581
2008-07-01  522561534
2008-10-01  524295659
2009-01-01  506919250
2009-04-01  503706203
2009-07-01  493196902
2009-10-01  514575061
2010-01-01  494722737
2010-04-01  498640813
2010-07-01  503742642
2010-10-01  519074407
2011-01-01  503251768
2011-04-01  515413468
2011-07-01  513515287
2011-10-01  508518669
2012-01-01  530272109
2012-04-01  508777605
2012-07-01  550945075
2012-10-01  502695068
2013-01-01  468147850
2013-04-01  471050697
2013-07-01  461540366
2013-10-01  465011647
2014-01-01  514234919
2014-04-01  501906963
2014-07-01  506777062
2014-10-01  523048751
2015-01-01  525172699
2015-04-01  522753729
2015-07-01  542453766
2015-10-01  543796916
2016-01-01  513278387
2016-04-01  528872044
2016-07-01  543078724
2016-10-01  532278549
2017-01-01  539659717
2017-04-01  541795808
2017-07-01  520151943
2017-10-01  535749293
2018-01-01  566798717
