Title:               Average Weekly Wages for Employees in Federal Government Establishments in Greenville, NC (MSA)
Series ID:           ENUC247840110
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   473
1990-04-01   338
1990-07-01   545
1990-10-01   554
1991-01-01   659
1991-04-01   629
1991-07-01   644
1991-10-01   568
1992-01-01   652
1992-04-01   645
1992-07-01   659
1992-10-01   747
1993-01-01   668
1993-04-01   658
1993-07-01   708
1993-10-01   698
1994-01-01   675
1994-04-01   703
1994-07-01   781
1994-10-01   758
1995-01-01   661
1995-04-01   626
1995-07-01   625
1995-10-01   688
1996-01-01   666
1996-04-01   686
1996-07-01   689
1996-10-01   735
1997-01-01   709
1997-04-01   702
1997-07-01   683
1997-10-01   746
1998-01-01   679
1998-04-01   741
1998-07-01   702
1998-10-01   777
1999-01-01   706
1999-04-01   739
1999-07-01   734
1999-10-01   806
2000-01-01   672
2000-04-01   564
2000-07-01   572
2000-10-01   798
2001-01-01   824
2001-04-01   809
2001-07-01   813
2001-10-01   810
2002-01-01   872
2002-04-01   839
2002-07-01   850
2002-10-01   836
2003-01-01   831
2003-04-01   811
2003-07-01   803
2003-10-01   783
2004-01-01   877
2004-04-01   812
2004-07-01   912
2004-10-01   887
2005-01-01   852
2005-04-01   913
2005-07-01   898
2005-10-01   931
2006-01-01   896
2006-04-01   963
2006-07-01   992
2006-10-01   986
2007-01-01   943
2007-04-01  1054
2007-07-01   945
2007-10-01  1122
2008-01-01   981
2008-04-01  1110
2008-07-01   987
2008-10-01  1157
2009-01-01   941
2009-04-01   995
2009-07-01  1058
2009-10-01  1183
2010-01-01  1057
2010-04-01   932
2010-07-01   989
2010-10-01  1276
2011-01-01  1134
2011-04-01  1281
2011-07-01  1264
2011-10-01  1214
2012-01-01  1281
2012-04-01  1190
2012-07-01  1293
2012-10-01  1215
2013-01-01  1295
2013-04-01  1224
2013-07-01  1329
2013-10-01  1194
2014-01-01  1378
2014-04-01  1211
2014-07-01  1330
2014-10-01  1186
2015-01-01  1343
2015-04-01  1162
2015-07-01  1361
2015-10-01  1275
2016-01-01  1246
2016-04-01  1202
2016-07-01  1411
2016-10-01  1451
2017-01-01  1330
2017-04-01  1422
2017-07-01  1281
2017-10-01  1460
2018-01-01  1359
