Title:               Equifax Subprime Credit Population for Haywood County, NC
Series ID:           EQFXSUBPRIME037087
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  31.604659902292370
1999-04-01  31.918178309532998
1999-07-01  31.176587696595660
1999-10-01  31.499089621687233
2000-01-01  31.987075928917610
2000-04-01  32.453447923061184
2000-07-01  31.733385153517297
2000-10-01  30.615640599001665
2001-01-01  31.508129321622125
2001-04-01  30.608634111818827
2001-07-01  30.973295853829935
2001-10-01  30.704611692096690
2002-01-01  31.418156570039923
2002-04-01  30.966952264381888
2002-07-01  31.707734428473650
2002-10-01  31.928969359331480
2003-01-01  32.047216349541930
2003-04-01  32.207006935799390
2003-07-01  32.671673819742495
2003-10-01  32.460176991150440
2004-01-01  32.706171971162300
2004-04-01  32.350390286209890
2004-07-01  31.846259437199727
2004-10-01  31.888492265850754
2005-01-01  31.320248280489850
2005-04-01  30.783122639960600
2005-07-01  30.515970515970515
2005-10-01  30.846905537459286
2006-01-01  31.202212461363267
2006-04-01  31.238808399804658
2006-07-01  31.005000806581705
2006-10-01  31.493987810904300
2007-01-01  31.769256643121423
2007-04-01  30.728241563055064
2007-07-01  30.913846656857935
2007-10-01  31.496196111580726
2008-01-01  32.078472958642630
2008-04-01  32.530765115034775
2008-07-01  32.850070721357850
2008-10-01  33.041301627033790
2009-01-01  33.560171919770774
2009-04-01  32.331233123312330
2009-07-01  32.344531808434596
2009-10-01  32.120771189523460
2010-01-01  32.217343578485180
2010-04-01  31.733189500179794
2010-07-01  31.790963527490472
2010-10-01  32.167327803822570
2011-01-01  31.261261261261264
2011-04-01  31.344628695025236
2011-07-01  31.471806881642948
2011-10-01  31.958762886597935
2012-01-01  31.430662275887304
2012-04-01  30.945921504792910
2012-07-01  31.051300578034680
2012-10-01  30.894015861571738
2013-01-01  29.519971969166082
2013-04-01  29.495404889890757
2013-07-01  29.637632978723406
2013-10-01  30.057803468208093
2014-01-01  29.840434281954270
2014-04-01  29.817943250779074
2014-07-01  29.420456411098340
2014-10-01  29.606759831004226
2015-01-01  29.445073612684030
2015-04-01  28.607796340493234
2015-07-01  28.426073131955487
2015-10-01  28.484557529204675
2016-01-01  28.153332272944170
2016-04-01  28.101902814908000
2016-07-01  27.936606587942820
2016-10-01  28.662222911176560
2017-01-01  27.479624788559125
2017-04-01  27.118644067796610
2017-07-01  26.642901425914445
2017-10-01  27.006845052893592
2018-01-01  26.482521847690390
2018-04-01  25.963174996131826
2018-07-01  26.428792091442695
