Title:               Average Weekly Wages for Employees in Local Government Establishments in Burlington, NC (MSA)
Series ID:           ENUC155040310
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   366
1990-04-01   364
1990-07-01   333
1990-10-01   400
1991-01-01   383
1991-04-01   393
1991-07-01   351
1991-10-01   422
1992-01-01   385
1992-04-01   393
1992-07-01   374
1992-10-01   403
1993-01-01   399
1993-04-01   415
1993-07-01   388
1993-10-01   424
1994-01-01   414
1994-04-01   411
1994-07-01   394
1994-10-01   429
1995-01-01   427
1995-04-01   433
1995-07-01   389
1995-10-01   432
1996-01-01   426
1996-04-01   418
1996-07-01   442
1996-10-01   436
1997-01-01   441
1997-04-01   454
1997-07-01   466
1997-10-01   473
1998-01-01   449
1998-04-01   470
1998-07-01   502
1998-10-01   495
1999-01-01   467
1999-04-01   490
1999-07-01   497
1999-10-01   531
2000-01-01   489
2000-04-01   514
2000-07-01   540
2000-10-01   566
2001-01-01   520
2001-04-01   566
2001-07-01   533
2001-10-01   581
2002-01-01   540
2002-04-01   641
2002-07-01   597
2002-10-01   586
2003-01-01   550
2003-04-01   559
2003-07-01   551
2003-10-01   607
2004-01-01   551
2004-04-01   552
2004-07-01   584
2004-10-01   585
2005-01-01   574
2005-04-01   566
2005-07-01   618
2005-10-01   594
2006-01-01   599
2006-04-01   584
2006-07-01   647
2006-10-01   646
2007-01-01   642
2007-04-01   620
2007-07-01   690
2007-10-01   671
2008-01-01   660
2008-04-01   633
2008-07-01   709
2008-10-01   694
2009-01-01   661
2009-04-01   646
2009-07-01   680
2009-10-01   693
2010-01-01   657
2010-04-01   645
2010-07-01   677
2010-10-01   687
2011-01-01   652
2011-04-01   653
2011-07-01   667
2011-10-01   681
2012-01-01   650
2012-04-01   649
2012-07-01   679
2012-10-01   693
2013-01-01   648
2013-04-01   659
2013-07-01   672
2013-10-01   684
2014-01-01   648
2014-04-01   660
2014-07-01   691
2014-10-01   718
2015-01-01   678
2015-04-01   689
2015-07-01   724
2015-10-01   755
2016-01-01   718
2016-04-01   690
2016-07-01   764
2016-10-01   731
2017-01-01   750
2017-04-01   717
2017-07-01   785
2017-10-01   744
2018-01-01   766
