Title:               Equifax Subprime Credit Population for Caldwell County, NC
Series ID:           EQFXSUBPRIME037027
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  38.199300699300700
1999-04-01  37.065036131183994
1999-07-01  34.820759764579990
1999-10-01  34.874780316344460
2000-01-01  35.618579723090670
2000-04-01  35.254199577261100
2000-07-01  36.564215148188810
2000-10-01  35.608646188850970
2001-01-01  36.499688214508420
2001-04-01  35.514946866620320
2001-07-01  35.704433497536950
2001-10-01  36.160626836434865
2002-01-01  36.806399351964360
2002-04-01  36.643170906119120
2002-07-01  36.660911952879050
2002-10-01  37.857967061785374
2003-01-01  37.399047421826470
2003-04-01  37.816722972972970
2003-07-01  38.549167114454600
2003-10-01  38.180253818025385
2004-01-01  39.495523039965060
2004-04-01  38.680069930069930
2004-07-01  38.806793118659020
2004-10-01  38.655097613882860
2005-01-01  38.560220525869380
2005-04-01  37.184153062285540
2005-07-01  37.146435653898344
2005-10-01  38.369738945125200
2006-01-01  37.791063561988670
2006-04-01  37.191787888166715
2006-07-01  37.535159912490880
2006-10-01  36.601513240857500
2007-01-01  37.203509151954950
2007-04-01  37.063843577832990
2007-07-01  37.240055454836300
2007-10-01  39.113503607834154
2008-01-01  40.569135352061295
2008-04-01  40.249167386209450
2008-07-01  39.948071216617210
2008-10-01  39.891652302388570
2009-01-01  40.222277722277724
2009-04-01  40.534745869592630
2009-07-01  40.608498868493840
2009-10-01  40.015195643915410
2010-01-01  39.862717681454170
2010-04-01  38.696255201109570
2010-07-01  38.515723270440250
2010-10-01  39.347528327730046
2011-01-01  39.237976264834480
2011-04-01  38.926767676767675
2011-07-01  38.969750664472855
2011-10-01  39.320142059868080
2012-01-01  38.439933614196350
2012-04-01  38.576305474775570
2012-07-01  38.386648122392220
2012-10-01  38.952164009111620
2013-01-01  38.345958028064075
2013-04-01  38.007560053651990
2013-07-01  38.779069767441860
2013-10-01  38.328295745175540
2014-01-01  38.123501883346650
2014-04-01  37.940169996688375
2014-07-01  36.979332273449920
2014-10-01  37.206845552503700
2015-01-01  36.552670466540010
2015-04-01  34.972914409534130
2015-07-01  35.718157181571810
2015-10-01  35.441398661774230
2016-01-01  34.980002161928440
2016-04-01  34.945663754528020
2016-07-01  34.307851239669425
2016-10-01  33.923243132009470
2017-01-01  33.830591601103510
2017-04-01  33.340149268990900
2017-07-01  33.391662377766340
2017-10-01  33.565788124294940
2018-01-01  33.322965266977710
2018-04-01  32.750999789518000
2018-07-01  32.873872940201060
