Title:               Average Weekly Wages for Employees in Total Covered Establishments in Rocky Mount, NC (MSA)
Series ID:           ENUC405840010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   347
1990-04-01   354
1990-07-01   354
1990-10-01   390
1991-01-01   366
1991-04-01   372
1991-07-01   374
1991-10-01   411
1992-01-01   373
1992-04-01   377
1992-07-01   381
1992-10-01   423
1993-01-01   375
1993-04-01   396
1993-07-01   402
1993-10-01   440
1994-01-01   426
1994-04-01   409
1994-07-01   417
1994-10-01   445
1995-01-01   424
1995-04-01   427
1995-07-01   421
1995-10-01   468
1996-01-01   437
1996-04-01   442
1996-07-01   424
1996-10-01   481
1997-01-01   457
1997-04-01   462
1997-07-01   486
1997-10-01   513
1998-01-01   464
1998-04-01   485
1998-07-01   505
1998-10-01   551
1999-01-01   487
1999-04-01   506
1999-07-01   504
1999-10-01   566
2000-01-01   525
2000-04-01   524
2000-07-01   523
2000-10-01   560
2001-01-01   533
2001-04-01   571
2001-07-01   537
2001-10-01   572
2002-01-01   545
2002-04-01   538
2002-07-01   556
2002-10-01   584
2003-01-01   557
2003-04-01   560
2003-07-01   558
2003-10-01   608
2004-01-01   561
2004-04-01   574
2004-07-01   580
2004-10-01   636
2005-01-01   565
2005-04-01   575
2005-07-01   595
2005-10-01   647
2006-01-01   599
2006-04-01   592
2006-07-01   583
2006-10-01   652
2007-01-01   614
2007-04-01   604
2007-07-01   600
2007-10-01   683
2008-01-01   624
2008-04-01   624
2008-07-01   610
2008-10-01   690
2009-01-01   621
2009-04-01   633
2009-07-01   621
2009-10-01   710
2010-01-01   638
2010-04-01   644
2010-07-01   643
2010-10-01   702
2011-01-01   645
2011-04-01   660
2011-07-01   677
2011-10-01   705
2012-01-01   694
2012-04-01   659
2012-07-01   735
2012-10-01   689
2013-01-01   657
2013-04-01   647
2013-07-01   652
2013-10-01   674
2014-01-01   696
2014-04-01   657
2014-07-01   683
2014-10-01   717
2015-01-01   715
2015-04-01   683
2015-07-01   730
2015-10-01   745
2016-01-01   700
2016-04-01   688
2016-07-01   725
2016-10-01   735
2017-01-01   737
2017-04-01   716
2017-07-01   712
2017-10-01   753
2018-01-01   782
