Title:               Equifax Subprime Credit Population for Lee County, NC
Series ID:           EQFXSUBPRIME037105
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  37.521351300056935
1999-04-01  37.951349296845310
1999-07-01  37.338573834924200
1999-10-01  38.519375361480630
2000-01-01  38.321596244131456
2000-04-01  37.848837209302324
2000-07-01  37.225586676760030
2000-10-01  35.514018691588780
2001-01-01  35.707861126101810
2001-04-01  35.230822631030900
2001-07-01  35.054299448103970
2001-10-01  35.579133510167990
2002-01-01  35.149061464850940
2002-04-01  34.644948755490480
2002-07-01  34.409190371991250
2002-10-01  34.213882310074695
2003-01-01  35.321615557217650
2003-04-01  35.101344951695395
2003-07-01  36.184462303865290
2003-10-01  35.293009233088380
2004-01-01  37.207050164632970
2004-04-01  34.683684794672590
2004-07-01  34.475843208751140
2004-10-01  34.838948537578670
2005-01-01  34.846535563315570
2005-04-01  34.414414414414410
2005-07-01  34.790462427745666
2005-10-01  35.826118990606005
2006-01-01  35.313531353135310
2006-04-01  34.080250130276184
2006-07-01  34.203201113430760
2006-10-01  34.906353286816014
2007-01-01  34.296283248194470
2007-04-01  33.559092448357600
2007-07-01  34.352057367252860
2007-10-01  35.257467472970500
2008-01-01  37.029042386185246
2008-04-01  37.262658227848100
2008-07-01  36.525524337158686
2008-10-01  36.917633182622374
2009-01-01  36.597938144329895
2009-04-01  36.199722607489600
2009-07-01  36.329808068938505
2009-10-01  36.613631899430366
2010-01-01  35.724165184746100
2010-04-01  35.490809542432540
2010-07-01  35.363495746326370
2010-10-01  35.822932917316690
2011-01-01  35.295271728467725
2011-04-01  35.675039246467820
2011-07-01  35.932872655478775
2011-10-01  35.342247056475750
2012-01-01  34.839737208839340
2012-04-01  35.177786656012785
2012-07-01  35.201881615052920
2012-10-01  35.427781070934600
2013-01-01  34.231499051233390
2013-04-01  33.327171903881705
2013-07-01  33.777239709443094
2013-10-01  34.164803027696540
2014-01-01  32.963709677419360
2014-04-01  32.939189189189186
2014-07-01  33.255308476843340
2014-10-01  33.273085770621094
2015-01-01  32.850707850707850
2015-04-01  32.578038345745526
2015-07-01  32.850165432487785
2015-10-01  32.717884525113440
2016-01-01  32.319802438647940
2016-04-01  31.769290724863602
2016-07-01  30.547045951859957
2016-10-01  30.156451844409360
2017-01-01  29.495065083679016
2017-04-01  29.205409974640745
2017-07-01  29.156761292126976
2017-10-01  29.208128941836020
2018-01-01  28.522287516124408
2018-04-01  28.058472892421232
2018-07-01  27.828403196411045
