Title:               Equifax Subprime Credit Population for Hyde County, NC
Series ID:           EQFXSUBPRIME037095
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  42.445414847161570
1999-04-01  42.061281337047355
1999-07-01  39.939332659251770
1999-10-01  39.308855291576670
2000-01-01  38.017429193899780
2000-04-01  37.628278221208670
2000-07-01  35.452322738386310
2000-10-01  35.301668806161740
2001-01-01  37.500000000000000
2001-04-01  36.991869918699190
2001-07-01  33.422459893048130
2001-10-01  33.848314606741575
2002-01-01  33.285714285714285
2002-04-01  31.019830028328610
2002-07-01  30.857142857142854
2002-10-01  32.456140350877190
2003-01-01  32.072617246596070
2003-04-01  31.490015360983104
2003-07-01  32.543443917851500
2003-10-01  32.480000000000000
2004-01-01  33.276740237691000
2004-04-01  34.935304990757860
2004-07-01  35.714285714285715
2004-10-01  31.305903398926656
2005-01-01  30.520646319569124
2005-04-01  32.821497120921310
2005-07-01  34.072580645161290
2005-10-01  35.199999999999996
2006-01-01  34.653465346534650
2006-04-01  35.199999999999996
2006-07-01  34.530938123752500
2006-10-01  35.084033613445380
2007-01-01  32.329317269076306
2007-04-01  34.482758620689660
2007-07-01  34.537246049661405
2007-10-01  36.561743341404360
2008-01-01  34.816753926701570
2008-04-01  34.324324324324320
2008-07-01  31.283422459893046
2008-10-01  30.831099195710454
2009-01-01  32.432432432432435
2009-04-01  32.180851063829785
2009-07-01  32.702702702702700
2009-10-01  33.240997229916900
2010-01-01  31.460674157303370
2010-04-01  30.484330484330485
2010-07-01  31.034482758620690
2010-10-01  31.232876712328768
2011-01-01  31.564245810055862
2011-04-01  32.173913043478260
2011-07-01  32.861189801699720
2011-10-01  32.972972972972975
2012-01-01  33.701657458563540
2012-04-01  31.200000000000000
2012-07-01  30.458221024258760
2012-10-01  32.526881720430104
2013-01-01  29.649595687331537
2013-04-01  30.919220055710305
2013-07-01  34.285714285714285
2013-10-01  31.701030927835050
2014-01-01  32.225063938618920
2014-04-01  32.151898734177216
2014-07-01  31.234256926952142
2014-10-01  32.142857142857146
2015-01-01  31.172069825436410
2015-04-01  32.151300236406620
2015-07-01  32.289156626506020
2015-10-01  32.066508313539195
2016-01-01  32.057416267942585
2016-04-01  31.175059952038370
2016-07-01  32.167832167832170
2016-10-01  31.860465116279070
2017-01-01  30.365296803652970
2017-04-01  29.596412556053814
2017-07-01  28.701594533029613
2017-10-01  29.629629629629626
2018-01-01  27.659574468085108
2018-04-01  27.505827505827508
2018-07-01  28.640776699029125
