Title:               Equifax Subprime Credit Population for Chowan County, NC
Series ID:           EQFXSUBPRIME037041
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  37.593123209169060
1999-04-01  37.536485697606540
1999-07-01  35.983510011778560
1999-10-01  35.061153174140940
2000-01-01  35.643564356435640
2000-04-01  35.566093657379966
2000-07-01  36.899313501144164
2000-10-01  34.537493158182810
2001-01-01  36.006637168141594
2001-04-01  35.803814713896460
2001-07-01  34.228187919463090
2001-10-01  34.121621621621620
2002-01-01  35.145739910313900
2002-04-01  34.904013961605585
2002-07-01  35.062713797035350
2002-10-01  35.651665692577440
2003-01-01  34.909515469935780
2003-04-01  36.272189349112420
2003-07-01  35.613207547169814
2003-10-01  35.506816834617666
2004-01-01  36.000000000000000
2004-04-01  34.837545126353790
2004-07-01  32.811521603005630
2004-10-01  32.703321878579610
2005-01-01  33.086560364464690
2005-04-01  32.711370262390670
2005-07-01  32.031692133559710
2005-10-01  33.216579100992410
2006-01-01  33.235810415447630
2006-04-01  33.118405627198120
2006-07-01  32.703321878579610
2006-10-01  32.644628099173560
2007-01-01  32.872596153846150
2007-04-01  32.532239155920290
2007-07-01  32.626619552414600
2007-10-01  33.659730722154220
2008-01-01  35.128036769533814
2008-04-01  36.400817995910025
2008-07-01  35.714285714285715
2008-10-01  35.714285714285715
2009-01-01  36.363636363636370
2009-04-01  36.420612813370475
2009-07-01  36.440677966101696
2009-10-01  37.315530569219960
2010-01-01  37.788663400979710
2010-04-01  37.244201909959074
2010-07-01  37.830508474576270
2010-10-01  37.508463100880164
2011-01-01  36.991869918699190
2011-04-01  37.864721485411140
2011-07-01  37.600000000000000
2011-10-01  38.061617458279850
2012-01-01  38.220230473751600
2012-04-01  37.749196141479100
2012-07-01  37.644787644787650
2012-10-01  38.584183673469380
2013-01-01  37.875997544505830
2013-04-01  37.431859479103570
2013-07-01  36.900780379041250
2013-10-01  36.696230598669620
2014-01-01  35.651697699890470
2014-04-01  35.383777898747960
2014-07-01  35.636561479869420
2014-10-01  35.019673974142776
2015-01-01  35.690235690235690
2015-04-01  35.135135135135140
2015-07-01  36.349121873336884
2015-10-01  35.892006352567500
2016-01-01  35.005393743257830
2016-04-01  34.097108565193670
2016-07-01  33.752735229759300
2016-10-01  34.716981132075470
2017-01-01  34.751037344398340
2017-04-01  34.470094438614900
2017-07-01  34.591194968553460
2017-10-01  34.679089026915115
2018-01-01  33.760903027193436
2018-04-01  33.229652669777090
2018-07-01  32.966457023060800
