Title:               Equifax Subprime Credit Population for Watauga County, NC
Series ID:           EQFXSUBPRIME037189
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  31.632441402198710
1999-04-01  31.822144725370530
1999-07-01  29.661751951431047
1999-10-01  31.125827814569533
2000-01-01  30.898526665283256
2000-04-01  29.733696791780247
2000-07-01  28.431771894093690
2000-10-01  27.563990945498870
2001-01-01  27.470747074707468
2001-04-01  28.269815709429235
2001-07-01  27.077549509531740
2001-10-01  26.544272327404855
2002-01-01  26.018929882171143
2002-04-01  25.673319124200738
2002-07-01  25.465602432535157
2002-10-01  25.203098431891174
2003-01-01  25.009656237929700
2003-04-01  25.167125442390876
2003-07-01  24.648584438725006
2003-10-01  25.431998373653180
2004-01-01  25.347506132461163
2004-04-01  23.718079673135854
2004-07-01  23.656864912668580
2004-10-01  23.330461008186127
2005-01-01  22.801724137931036
2005-04-01  23.416216216216217
2005-07-01  22.652659225213394
2005-10-01  23.570940560236846
2006-01-01  23.349909584086800
2006-04-01  23.664297179545976
2006-07-01  23.519851404690040
2006-10-01  24.264527109166060
2007-01-01  25.251509054325954
2007-04-01  25.073746312684364
2007-07-01  25.187219171243136
2007-10-01  26.108247422680414
2008-01-01  26.825881699527910
2008-04-01  26.889134031991173
2008-07-01  25.878771104345420
2008-10-01  25.643200452360760
2009-01-01  25.416427340608845
2009-04-01  22.132390096008084
2009-07-01  21.177587844254510
2009-10-01  22.219469903393610
2010-01-01  21.942446043165468
2010-04-01  20.893336587747132
2010-07-01  20.230414746543780
2010-10-01  20.272492365515620
2011-01-01  20.052770448548813
2011-04-01  19.924546097618485
2011-07-01  19.563197026022305
2011-10-01  19.460324719871940
2012-01-01  18.586497890295360
2012-04-01  17.260825780463243
2012-07-01  16.913105124569576
2012-10-01  17.476327706875256
2013-01-01  17.964824120603016
2013-04-01  18.492239467849224
2013-07-01  20.381872555785600
2013-10-01  22.132796780684107
2014-01-01  22.577292803325538
2014-04-01  22.399574354881620
2014-07-01  22.623723487824037
2014-10-01  23.123044838373303
2015-01-01  22.585669781931465
2015-04-01  21.518987341772153
2015-07-01  21.734641197728447
2015-10-01  21.881390593047033
2016-01-01  21.508951406649615
2016-04-01  21.245885034185868
2016-07-01  20.650285430627950
2016-10-01  20.901436354631006
2017-01-01  20.099750623441395
2017-04-01  19.915569903153713
2017-07-01  19.787023278850917
2017-10-01  20.567375886524820
2018-01-01  20.336914062500000
2018-04-01  19.940769990128330
2018-07-01  20.471860407962645
