Title:               Average Weekly Wages for Employees in Federal Government Establishments in Hickory-Lenoir-Morganton, NC (MSA)
Series ID:           ENUC258640110
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   538
1990-04-01   360
1990-07-01   570
1990-10-01   580
1991-01-01   632
1991-04-01   571
1991-07-01   649
1991-10-01   594
1992-01-01   712
1992-04-01   603
1992-07-01   688
1992-10-01   758
1993-01-01   701
1993-04-01   646
1993-07-01   744
1993-10-01   726
1994-01-01   650
1994-04-01   634
1994-07-01   718
1994-10-01   725
1995-01-01   644
1995-04-01   620
1995-07-01   622
1995-10-01   758
1996-01-01   653
1996-04-01   716
1996-07-01   637
1996-10-01   764
1997-01-01   660
1997-04-01   711
1997-07-01   642
1997-10-01   729
1998-01-01   686
1998-04-01   748
1998-07-01   671
1998-10-01   770
1999-01-01   690
1999-04-01   752
1999-07-01   667
1999-10-01   768
2000-01-01   726
2000-04-01   565
2000-07-01   608
2000-10-01   719
2001-01-01   820
2001-04-01   730
2001-07-01   814
2001-10-01   733
2002-01-01   844
2002-04-01   798
2002-07-01   855
2002-10-01   796
2003-01-01   883
2003-04-01   791
2003-07-01   876
2003-10-01   790
2004-01-01   929
2004-04-01   803
2004-07-01   924
2004-10-01   928
2005-01-01   849
2005-04-01   966
2005-07-01   841
2005-10-01   869
2006-01-01   865
2006-04-01   874
2006-07-01  1010
2006-10-01   919
2007-01-01   900
2007-04-01  1029
2007-07-01   876
2007-10-01  1044
2008-01-01   887
2008-04-01  1006
2008-07-01   877
2008-10-01  1046
2009-01-01   894
2009-04-01   959
2009-07-01   912
2009-10-01  1075
2010-01-01   930
2010-04-01   825
2010-07-01   875
2010-10-01  1117
2011-01-01   968
2011-04-01  1139
2011-07-01  1117
2011-10-01  1021
2012-01-01  1127
2012-04-01   984
2012-07-01  1077
2012-10-01  1013
2013-01-01  1121
2013-04-01  1001
2013-07-01  1123
2013-10-01  1013
2014-01-01  1172
2014-04-01  1012
2014-07-01  1157
2014-10-01  1022
2015-01-01  1227
2015-04-01  1025
2015-07-01  1149
2015-10-01  1131
2016-01-01  1018
2016-04-01   979
2016-07-01  1136
2016-10-01  1162
2017-01-01  1026
2017-04-01  1101
2017-07-01  1025
2017-10-01  1152
2018-01-01  1033
