Title:               Total Quarterly Wages in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           ENUC167430010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE              VALUE
1990-01-01   3316409364
1990-04-01   3269047810
1990-07-01   3330280053
1990-10-01   3333433804
1991-01-01   3335818889
1991-04-01   3510228550
1991-07-01   3425601070
1991-10-01   3404859074
1992-01-01   3514291584
1992-04-01   3512373505
1992-07-01   3610495220
1992-10-01   3816801918
1993-01-01   3594148363
1993-04-01   3774319452
1993-07-01   3908310772
1993-10-01   4068946604
1994-01-01   3979723183
1994-04-01   4096055282
1994-07-01   4292232498
1994-10-01   4303215982
1995-01-01   4475745444
1995-04-01   4531594136
1995-07-01   4570464494
1995-10-01   4680313327
1996-01-01   4811343752
1996-04-01   4882591916
1996-07-01   4952111060
1996-10-01   5055080742
1997-01-01   5223720496
1997-04-01   5270169430
1997-07-01   5466028176
1997-10-01   5659552023
1998-01-01   5685961850
1998-04-01   5833570016
1998-07-01   5936825735
1998-10-01   6233275841
1999-01-01   6070857085
1999-04-01   6345950985
1999-07-01   6576050498
1999-10-01   6799067475
2000-01-01   6873569028
2000-04-01   6931109140
2000-07-01   7044732805
2000-10-01   7154844376
2001-01-01   7216044884
2001-04-01   7233607994
2001-07-01   7143422318
2001-10-01   7094941674
2002-01-01   7285002711
2002-04-01   7373995127
2002-07-01   7366418863
2002-10-01   7285814408
2003-01-01   7337505804
2003-04-01   7394238146
2003-07-01   7562945940
2003-10-01   7636626091
2004-01-01   7616896968
2004-04-01   7770723751
2004-07-01   7922548901
2004-10-01   8410083690
2005-01-01   8363782681
2005-04-01   8409061251
2005-07-01   8687947004
2005-10-01   8598038513
2006-01-01   9239616950
2006-04-01   9134808403
2006-07-01   9218015440
2006-10-01   9351179857
2007-01-01  10169784552
2007-04-01   9748764466
2007-07-01   9685596569
2007-10-01   9893687760
2008-01-01  10142722808
2008-04-01   9978042002
2008-07-01  10057485196
2008-10-01   9731201177
2009-01-01   8990202779
2009-04-01   9266872531
2009-07-01   9307538192
2009-10-01   9398676540
2010-01-01   9246656634
2010-04-01   9586880904
2010-07-01   9486087536
2010-10-01  10011664329
2011-01-01   9923502892
2011-04-01   9977230612
2011-07-01  10391674026
2011-10-01  10118033687
2012-01-01  10428960374
2012-04-01  10398202454
2012-07-01  10737873020
2012-10-01  11057462526
2013-01-01  12242133470
2013-04-01  12545817641
2013-07-01  12669173746
2013-10-01  12999485603
2014-01-01  13158642676
2014-04-01  13261946466
2014-07-01  13534588333
2014-10-01  13865765132
2015-01-01  14029670660
2015-04-01  14278909891
2015-07-01  14611570071
2015-10-01  15288305462
2016-01-01  14425523817
2016-04-01  15237778417
2016-07-01  16132772740
2016-10-01  15600025337
2017-01-01  15933822201
2017-04-01  16149666136
2017-07-01  16146853567
2017-10-01  16507574897
2018-01-01  16771672198
