Title:               Equifax Subprime Credit Population for Bertie County, NC
Series ID:           EQFXSUBPRIME037015
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  44.161999138302455
1999-04-01  45.158450704225350
1999-07-01  44.223826714801450
1999-10-01  45.802583025830260
2000-01-01  45.403639757349510
2000-04-01  43.764381040036820
2000-07-01  44.965831435079730
2000-10-01  43.747257569109260
2001-01-01  44.596988485385296
2001-04-01  44.420131291028450
2001-07-01  43.346508563899870
2001-10-01  44.500000000000000
2002-01-01  43.897477624084620
2002-04-01  43.782696177062380
2002-07-01  43.005181347150256
2002-10-01  42.450592885375490
2003-01-01  43.426294820717130
2003-04-01  43.492452060383520
2003-07-01  44.375772558714460
2003-10-01  44.264943457189010
2004-01-01  44.774886410574140
2004-04-01  43.777163176610030
2004-07-01  43.364259782170230
2004-10-01  42.966751918158570
2005-01-01  41.467889908256886
2005-04-01  44.012563800549664
2005-07-01  43.887147335423200
2005-10-01  43.851324634242786
2006-01-01  44.009397024275650
2006-04-01  44.195356285028020
2006-07-01  45.585874799357946
2006-10-01  45.580448065173115
2007-01-01  45.695634434924520
2007-04-01  45.014245014245010
2007-07-01  44.652517686225550
2007-10-01  45.692717584369450
2008-01-01  49.805825242718450
2008-04-01  50.418513047759730
2008-07-01  50.201207243460765
2008-10-01  49.240890688259110
2009-01-01  50.102669404517450
2009-04-01  49.561177077955605
2009-07-01  48.728593668915416
2009-10-01  48.640000000000000
2010-01-01  48.004201680672270
2010-04-01  47.894736842105260
2010-07-01  48.479913137893590
2010-10-01  48.462354188759280
2011-01-01  48.366701791359326
2011-04-01  48.565356004250795
2011-07-01  48.414376321353070
2011-10-01  47.571801566579640
2012-01-01  48.126951092611860
2012-04-01  47.767393561786086
2012-07-01  48.348813209494324
2012-10-01  47.409326424870470
2013-01-01  47.088866189989790
2013-04-01  46.236012207527980
2013-07-01  46.318289786223275
2013-10-01  45.783132530120480
2014-01-01  45.016532829475670
2014-04-01  44.408799266727770
2014-07-01  44.383561643835620
2014-10-01  45.939781021897810
2015-01-01  44.255699597675460
2015-04-01  43.441901408450704
2015-07-01  43.838652482269500
2015-10-01  43.478260869565220
2016-01-01  43.416996917657420
2016-04-01  43.777388255915860
2016-07-01  43.352100476396710
2016-10-01  42.720970537261700
2017-01-01  42.740198190435160
2017-04-01  43.185763888888890
2017-07-01  42.355008787346220
2017-10-01  41.808650065530800
2018-01-01  41.724436741767760
2018-04-01  42.175986129172080
2018-07-01  42.498919152615650
