Title:               Average Weekly Wages for Employees in Total Covered Establishments in Asheville, NC (MSA)
Series ID:           ENUC117040010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  364.7
1990-04-01  366.7
1990-07-01  365.8
1990-10-01  372.1
1991-01-01  375.4
1991-04-01  384.2
1991-07-01  384.6
1991-10-01  383.3
1992-01-01  399.4
1992-04-01  398.7
1992-07-01  404.2
1992-10-01  421.2
1993-01-01  394.6
1993-04-01  412.5
1993-07-01  417.6
1993-10-01  424.9
1994-01-01  414.5
1994-04-01  419.9
1994-07-01  430.3
1994-10-01  424.4
1995-01-01  435.7
1995-04-01  440.7
1995-07-01  438.8
1995-10-01  443.8
1996-01-01  453.1
1996-04-01  451.9
1996-07-01  451.6
1996-10-01  458.4
1997-01-01  466.1
1997-04-01  467.6
1997-07-01  467.2
1997-10-01  483.7
1998-01-01  475.5
1998-04-01  491.5
1998-07-01  518.7
1998-10-01  506.0
1999-01-01  489.5
1999-04-01  506.5
1999-07-01  513.6
1999-10-01  521.6
2000-01-01  524.1
2000-04-01  522.3
2000-07-01  526.6
2000-10-01  526.5
2001-01-01  540.8
2001-04-01  539.3
2001-07-01  537.7
2001-10-01  543.7
2002-01-01  547.5
2002-04-01  545.6
2002-07-01  546.9
2002-10-01  546.3
2003-01-01  555.2
2003-04-01  553.8
2003-07-01  554.5
2003-10-01  566.8
2004-01-01  561.6
2004-04-01  568.5
2004-07-01  578.4
2004-10-01  595.6
2005-01-01  571.4
2005-04-01  596.7
2005-07-01  607.2
2005-10-01  601.7
2006-01-01  613.0
2006-04-01  618.7
2006-07-01  618.9
2006-10-01  628.1
2007-01-01  637.3
2007-04-01  642.2
2007-07-01  641.7
2007-10-01  645.7
2008-01-01  654.5
2008-04-01  654.0
2008-07-01  653.5
2008-10-01  657.4
2009-01-01  649.3
2009-04-01  655.1
2009-07-01  656.7
2009-10-01  672.8
2010-01-01  644.2
2010-04-01  673.1
2010-07-01  678.5
2010-10-01  679.6
2011-01-01  667.2
2011-04-01  677.7
2011-07-01  698.8
2011-10-01  668.3
2012-01-01  702.5
2012-04-01  690.1
2012-07-01  683.8
2012-10-01  689.3
2013-01-01  704.3
2013-04-01  696.9
2013-07-01  696.5
2013-10-01  693.5
2014-01-01  711.6
2014-04-01  710.8
2014-07-01  714.7
2014-10-01  730.6
2015-01-01  714.4
2015-04-01  730.3
2015-07-01  741.7
2015-10-01  769.3
2016-01-01  721.3
2016-04-01  756.7
2016-07-01  775.9
2016-10-01  764.6
2017-01-01  777.2
2017-04-01  783.5
2017-07-01  773.6
2017-10-01  781.8
2018-01-01  795.4
