Title:               Average Weekly Wages for Employees in Local Government Establishments in Rocky Mount, NC (MSA)
Series ID:           ENUC405840310SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  371.4
1990-04-01  371.2
1990-07-01  375.0
1990-10-01  401.8
1991-01-01  399.5
1991-04-01  401.9
1991-07-01  378.4
1991-10-01  412.3
1992-01-01  401.2
1992-04-01  413.6
1992-07-01  413.5
1992-10-01  416.5
1993-01-01  427.2
1993-04-01  423.3
1993-07-01  430.8
1993-10-01  425.5
1994-01-01  429.8
1994-04-01  446.6
1994-07-01  447.6
1994-10-01  440.8
1995-01-01  440.4
1995-04-01  440.2
1995-07-01  432.9
1995-10-01  440.3
1996-01-01  453.8
1996-04-01  450.2
1996-07-01  465.1
1996-10-01  468.4
1997-01-01  468.3
1997-04-01  469.9
1997-07-01  497.2
1997-10-01  488.7
1998-01-01  500.1
1998-04-01  490.9
1998-07-01  521.6
1998-10-01  533.8
1999-01-01  531.6
1999-04-01  536.3
1999-07-01  553.7
1999-10-01  562.3
2000-01-01  558.0
2000-04-01  565.9
2000-07-01  551.7
2000-10-01  567.8
2001-01-01  569.9
2001-04-01  580.0
2001-07-01  574.5
2001-10-01  579.6
2002-01-01  581.4
2002-04-01  587.2
2002-07-01  583.7
2002-10-01  585.4
2003-01-01  600.9
2003-04-01  603.0
2003-07-01  587.7
2003-10-01  609.9
2004-01-01  591.9
2004-04-01  594.3
2004-07-01  596.4
2004-10-01  600.6
2005-01-01  609.4
2005-04-01  614.2
2005-07-01  625.0
2005-10-01  610.5
2006-01-01  625.6
2006-04-01  615.9
2006-07-01  636.9
2006-10-01  628.0
2007-01-01  658.1
2007-04-01  648.3
2007-07-01  666.5
2007-10-01  683.9
2008-01-01  664.5
2008-04-01  680.0
2008-07-01  674.2
2008-10-01  676.5
2009-01-01  690.1
2009-04-01  692.0
2009-07-01  678.2
2009-10-01  687.2
2010-01-01  682.9
2010-04-01  681.4
2010-07-01  695.3
2010-10-01  692.4
2011-01-01  688.4
2011-04-01  694.9
2011-07-01  704.5
2011-10-01  708.5
2012-01-01  697.3
2012-04-01  701.3
2012-07-01  678.4
2012-10-01  707.4
2013-01-01  693.0
2013-04-01  738.9
2013-07-01  722.1
2013-10-01  706.2
2014-01-01  718.7
2014-04-01  703.3
2014-07-01  731.2
2014-10-01  723.2
2015-01-01  758.4
2015-04-01  753.5
2015-07-01  743.9
2015-10-01  773.8
2016-01-01  740.0
2016-04-01  759.8
2016-07-01  774.8
2016-10-01  780.9
2017-01-01  790.9
2017-04-01  779.6
2017-07-01  791.5
2017-10-01  780.2
2018-01-01  800.4
