Title:               Equifax Subprime Credit Population for Harnett County, NC
Series ID:           EQFXSUBPRIME037085
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  38.914948225506684
1999-04-01  39.010136060633734
1999-07-01  37.957866767887644
1999-10-01  38.328899398955560
2000-01-01  39.058255357681860
2000-04-01  37.482117310443490
2000-07-01  37.765089722675360
2000-10-01  35.562192889488394
2001-01-01  36.726853630426430
2001-04-01  35.961879846771936
2001-07-01  36.051461545738340
2001-10-01  36.039791567977260
2002-01-01  37.740267343155430
2002-04-01  37.159797822706070
2002-07-01  37.614948151046760
2002-10-01  38.690007867820610
2003-01-01  38.539676154078240
2003-04-01  38.464687819856700
2003-07-01  38.852051388313300
2003-10-01  38.937228091982600
2004-01-01  40.420337543785160
2004-04-01  39.172413793103450
2004-07-01  39.550209205020920
2004-10-01  40.250595423009216
2005-01-01  40.201567749160134
2005-04-01  39.256114817060850
2005-07-01  39.821573398215730
2005-10-01  40.638472592896730
2006-01-01  40.203045685279186
2006-04-01  39.230693749386720
2006-07-01  39.647194910352810
2006-10-01  40.204142305024280
2007-01-01  39.647186360500640
2007-04-01  38.884103741984870
2007-07-01  38.952819332566170
2007-10-01  39.970044932601100
2008-01-01  42.004747518342680
2008-04-01  42.188850475367330
2008-07-01  41.757653607364595
2008-10-01  42.576819407008090
2009-01-01  42.306432237632414
2009-04-01  42.019334049409240
2009-07-01  41.820905103241685
2009-10-01  41.719917686559086
2010-01-01  41.443167305236270
2010-04-01  41.012253596164090
2010-07-01  40.731859883236034
2010-10-01  41.001970749922210
2011-01-01  40.803935936355074
2011-04-01  40.903439701616240
2011-07-01  40.909562869899280
2011-10-01  40.874702041662346
2012-01-01  40.377670003095660
2012-04-01  39.892628536031390
2012-07-01  40.057755775577560
2012-10-01  40.912778904665316
2013-01-01  39.604541895066560
2013-04-01  39.299722567683920
2013-07-01  38.659420289855070
2013-10-01  38.683127572016460
2014-01-01  37.731685789938220
2014-04-01  37.267026650409335
2014-07-01  37.141380201602480
2014-10-01  37.265869988982120
2015-01-01  36.817915935489270
2015-04-01  36.310551854593310
2015-07-01  36.980976013234080
2015-10-01  37.563079928373760
2016-01-01  37.225083803450250
2016-04-01  36.947660198923856
2016-07-01  36.698337292161520
2016-10-01  36.394159444054030
2017-01-01  36.087228388307020
2017-04-01  35.210725017335700
2017-07-01  35.184756614981100
2017-10-01  35.468713289999215
2018-01-01  35.137292464878670
2018-04-01  34.681665868836770
2018-07-01  35.058509385062436
