Title:               Equifax Subprime Credit Population for Burke County, NC
Series ID:           EQFXSUBPRIME037023
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  37.054871220604700
1999-04-01  37.441781210950815
1999-07-01  34.797835084368030
1999-10-01  34.535164028927780
2000-01-01  34.820204576610780
2000-04-01  34.738309738309740
2000-07-01  34.317807688583320
2000-10-01  33.064291678263290
2001-01-01  34.126912283877980
2001-04-01  33.416570052617500
2001-07-01  34.065528380249190
2001-10-01  33.718741597203550
2002-01-01  34.189450428058550
2002-04-01  34.107045330420540
2002-07-01  33.647741701432980
2002-10-01  34.009233276002540
2003-01-01  35.178703021370670
2003-04-01  34.988290398126466
2003-07-01  35.864497097725760
2003-10-01  35.962387257724046
2004-01-01  37.098634877908090
2004-04-01  34.890135147559070
2004-07-01  34.858205485820550
2004-10-01  35.446313065976720
2005-01-01  34.698905109489054
2005-04-01  34.985396129974450
2005-07-01  35.914616636354936
2005-10-01  36.703466976564016
2006-01-01  36.424346498759780
2006-04-01  34.662766994593640
2006-07-01  35.105907587809455
2006-10-01  35.544313284616830
2007-01-01  35.753711457936810
2007-04-01  35.915225242349365
2007-07-01  36.475487412455045
2007-10-01  37.383738373837380
2008-01-01  39.694084928869400
2008-04-01  39.623462835999560
2008-07-01  39.157735195409764
2008-10-01  38.815430007649440
2009-01-01  38.788215675375210
2009-04-01  38.415663328457290
2009-07-01  37.848515633818714
2009-10-01  38.007834359261330
2010-01-01  37.614471452798190
2010-04-01  36.852229011088480
2010-07-01  36.730312958987690
2010-10-01  37.609329446064140
2011-01-01  36.943536571621770
2011-04-01  36.661007357102434
2011-07-01  37.067508170855405
2011-10-01  37.159642978194555
2012-01-01  36.806342015855040
2012-04-01  36.471123237835380
2012-07-01  36.201168518730670
2012-10-01  36.341907580241300
2013-01-01  34.753093178583164
2013-04-01  34.049834242327020
2013-07-01  33.720343260979305
2013-10-01  34.162986752308310
2014-01-01  33.727987264948760
2014-04-01  34.094835861009790
2014-07-01  33.883378140354130
2014-10-01  34.498941750253060
2015-01-01  34.273714963936820
2015-04-01  33.160573808422030
2015-07-01  33.118793674144910
2015-10-01  33.278252088497204
2016-01-01  32.887136701201065
2016-04-01  32.670195291111510
2016-07-01  32.373589265084870
2016-10-01  32.300616158986370
2017-01-01  32.007986804410100
2017-04-01  31.585811163275952
2017-07-01  31.554931554931553
2017-10-01  31.809807877884026
2018-01-01  31.781644731030827
2018-04-01  31.951703009551270
2018-07-01  32.114905727499110
