Title:               Equifax Subprime Credit Population for Richmond County, NC
Series ID:           EQFXSUBPRIME037153
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  42.091101287718620
1999-04-01  43.110768043226560
1999-07-01  42.474465214877625
1999-10-01  42.425401683244070
2000-01-01  42.932345486449606
2000-04-01  42.644174185955270
2000-07-01  43.245888801879400
2000-10-01  41.766917293233080
2001-01-01  42.788283277715980
2001-04-01  41.400709219858160
2001-07-01  41.845989685221410
2001-10-01  43.143932604409390
2002-01-01  43.874845324376880
2002-04-01  43.768729067512780
2002-07-01  43.242296918767510
2002-10-01  43.860894251242016
2003-01-01  44.243391875110870
2003-04-01  44.253393665158370
2003-07-01  44.621803011064756
2003-10-01  44.977457168620376
2004-01-01  45.684819974669810
2004-04-01  45.876472688325600
2004-07-01  45.074679943100996
2004-10-01  45.513494567122320
2005-01-01  44.702665755297330
2005-04-01  44.490145672664950
2005-07-01  45.320534796023310
2005-10-01  45.459115281501340
2006-01-01  45.559265442404005
2006-04-01  44.860122496275450
2006-07-01  45.196211096075780
2006-10-01  45.658214657867310
2007-01-01  45.665145665145666
2007-04-01  45.069695405265875
2007-07-01  44.975317348378000
2007-10-01  46.084058507683764
2008-01-01  47.685917721518990
2008-04-01  48.056394763343405
2008-07-01  47.502548419979610
2008-10-01  46.670815183571875
2009-01-01  47.121308689186320
2009-04-01  46.946564885496190
2009-07-01  47.001483365119725
2009-10-01  46.858245764529270
2010-01-01  46.878352284917405
2010-04-01  45.264949989359440
2010-07-01  45.414201183431950
2010-10-01  45.912347239780870
2011-01-01  45.385105028644176
2011-04-01  45.062381053076760
2011-07-01  44.343220338983050
2011-10-01  45.097623089983024
2012-01-01  44.005129301132726
2012-04-01  43.792808219178085
2012-07-01  44.439655172413794
2012-10-01  45.064377682403430
2013-01-01  43.883855024711700
2013-04-01  43.351438342385840
2013-07-01  43.099906629318400
2013-10-01  42.750652254938500
2014-01-01  42.600000000000000
2014-04-01  43.422280276170930
2014-07-01  43.858354850608634
2014-10-01  44.682422451994090
2015-01-01  44.448542973072670
2015-04-01  39.522497704315880
2015-07-01  39.841591453306320
2015-10-01  40.182054616384920
2016-01-01  40.675089571940410
2016-04-01  40.030097817908200
2016-07-01  39.936873375417750
2016-10-01  40.733309011309740
2017-01-01  40.409956076134700
2017-04-01  40.074487895716950
2017-07-01  40.465465465465460
2017-10-01  41.067799741363390
2018-01-01  40.371870397643600
2018-04-01  40.025835024912340
2018-07-01  40.639941154836336
