Title:               Average Weekly Wages for Employees in Total Covered Establishments in Greenville, NC (MSA)
Series ID:           ENUC247840010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  355.4
1990-04-01  363.2
1990-07-01  363.9
1990-10-01  376.6
1991-01-01  382.3
1991-04-01  383.9
1991-07-01  385.4
1991-10-01  386.6
1992-01-01  393.3
1992-04-01  399.2
1992-07-01  405.6
1992-10-01  430.6
1993-01-01  398.2
1993-04-01  414.9
1993-07-01  430.0
1993-10-01  431.5
1994-01-01  427.6
1994-04-01  426.6
1994-07-01  432.2
1994-10-01  429.5
1995-01-01  434.8
1995-04-01  436.2
1995-07-01  427.0
1995-10-01  426.3
1996-01-01  444.3
1996-04-01  441.1
1996-07-01  447.1
1996-10-01  451.5
1997-01-01  471.0
1997-04-01  478.0
1997-07-01  466.7
1997-10-01  469.7
1998-01-01  463.7
1998-04-01  479.0
1998-07-01  490.8
1998-10-01  500.5
1999-01-01  492.3
1999-04-01  492.0
1999-07-01  513.6
1999-10-01  516.0
2000-01-01  521.1
2000-04-01  523.7
2000-07-01  512.1
2000-10-01  552.6
2001-01-01  534.5
2001-04-01  538.8
2001-07-01  534.6
2001-10-01  545.4
2002-01-01  554.4
2002-04-01  555.9
2002-07-01  550.7
2002-10-01  549.9
2003-01-01  563.5
2003-04-01  568.1
2003-07-01  570.5
2003-10-01  589.7
2004-01-01  572.3
2004-04-01  589.6
2004-07-01  594.4
2004-10-01  595.7
2005-01-01  594.0
2005-04-01  600.6
2005-07-01  615.6
2005-10-01  607.2
2006-01-01  620.0
2006-04-01  621.6
2006-07-01  628.3
2006-10-01  622.8
2007-01-01  643.4
2007-04-01  646.8
2007-07-01  648.1
2007-10-01  649.9
2008-01-01  663.6
2008-04-01  660.8
2008-07-01  664.1
2008-10-01  674.4
2009-01-01  668.6
2009-04-01  678.9
2009-07-01  684.0
2009-10-01  699.5
2010-01-01  689.0
2010-04-01  692.6
2010-07-01  714.4
2010-10-01  713.3
2011-01-01  709.6
2011-04-01  724.9
2011-07-01  728.3
2011-10-01  721.7
2012-01-01  737.9
2012-04-01  740.2
2012-07-01  740.4
2012-10-01  762.0
2013-01-01  763.1
2013-04-01  764.3
2013-07-01  758.5
2013-10-01  762.1
2014-01-01  773.3
2014-04-01  775.2
2014-07-01  772.8
2014-10-01  793.2
2015-01-01  796.3
2015-04-01  807.3
2015-07-01  780.3
2015-10-01  841.9
2016-01-01  811.2
2016-04-01  818.5
2016-07-01  836.9
2016-10-01  831.5
2017-01-01  844.2
2017-04-01  840.6
2017-07-01  855.8
2017-10-01  845.9
2018-01-01  858.4
