Title:               Equifax Subprime Credit Population for Wilkes County, NC
Series ID:           EQFXSUBPRIME037193
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  32.749817651349375
1999-04-01  32.415902140672785
1999-07-01  31.890226005283240
1999-10-01  32.681521903895714
2000-01-01  33.420405654578980
2000-04-01  32.480818414322250
2000-07-01  32.670662183891240
2000-10-01  31.489420550407964
2001-01-01  32.767496869347430
2001-04-01  32.306217474664480
2001-07-01  33.273801346338786
2001-10-01  33.292715949092880
2002-01-01  33.269598470363285
2002-04-01  33.497469566406785
2002-07-01  33.436324556689954
2002-10-01  32.966147232670610
2003-01-01  33.429197480142430
2003-04-01  33.379026730637420
2003-07-01  34.345564459440460
2003-10-01  34.782003064493660
2004-01-01  35.295755045233120
2004-04-01  34.352843041846235
2004-07-01  34.115226337448560
2004-10-01  34.089987839481154
2005-01-01  33.453477506340946
2005-04-01  34.052953156822810
2005-07-01  33.562680610981150
2005-10-01  33.839569239265500
2006-01-01  33.434399117971340
2006-04-01  33.183244644562700
2006-07-01  33.187772925764190
2006-10-01  33.272778088317494
2007-01-01  33.177570093457945
2007-04-01  32.492765605622160
2007-07-01  32.441844268003900
2007-10-01  33.937373151638155
2008-01-01  34.462686567164184
2008-04-01  34.806131650135260
2008-07-01  34.262172284644194
2008-10-01  34.374052743255530
2009-01-01  34.409918873411910
2009-04-01  34.061000154822730
2009-07-01  34.240643365295390
2009-10-01  34.415990006246100
2010-01-01  33.558205208660180
2010-04-01  32.968236582694416
2010-07-01  32.903125485927540
2010-10-01  32.765092274006880
2011-01-01  32.910413120841720
2011-04-01  32.836052836052836
2011-07-01  32.825850551499144
2011-10-01  33.369768894440970
2012-01-01  33.240396530359355
2012-04-01  32.725572697522200
2012-07-01  32.596857009491210
2012-10-01  32.642647286222356
2013-01-01  31.610758537322454
2013-04-01  31.152183633924580
2013-07-01  31.604765241765943
2013-10-01  31.211613623673923
2014-01-01  30.765993265993263
2014-04-01  30.422618171108823
2014-07-01  30.090829182537360
2014-10-01  31.253602305475503
2015-01-01  30.613997423787033
2015-04-01  30.668563300142250
2015-07-01  31.523443066837682
2015-10-01  31.891661939875217
2016-01-01  30.645616013532560
2016-04-01  30.770306165245355
2016-07-01  30.322933771209630
2016-10-01  30.030793948319722
2017-01-01  30.217391304347824
2017-04-01  29.368635437881874
2017-07-01  29.807823361046747
2017-10-01  30.587912840893516
2018-01-01  29.471938070223942
2018-04-01  29.541689674213140
2018-07-01  29.358676329823602
