Title:               Equifax Subprime Credit Population for McDowell County, NC
Series ID:           EQFXSUBPRIME037111
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  39.613722312263650
1999-04-01  40.344370860927160
1999-07-01  38.720806794055200
1999-10-01  38.839645447219986
2000-01-01  39.441443815044130
2000-04-01  38.582460011031436
2000-07-01  38.768379676808850
2000-10-01  36.389815095483480
2001-01-01  36.607878687984176
2001-04-01  33.753229974160206
2001-07-01  34.851771511207520
2001-10-01  34.685789771655030
2002-01-01  36.184342926142080
2002-04-01  37.177664974619290
2002-07-01  36.442735734520440
2002-10-01  36.894616503845356
2003-01-01  37.090207842296980
2003-04-01  37.041060178144680
2003-07-01  37.570991699432064
2003-10-01  37.824746807573750
2004-01-01  37.616718541574040
2004-04-01  37.298387096774190
2004-07-01  35.847457627118644
2004-10-01  37.341495408832530
2005-01-01  38.042269187986650
2005-04-01  37.382974091008050
2005-07-01  37.654723127035830
2005-10-01  39.336283185840706
2006-01-01  38.879528222409440
2006-04-01  38.736492103075640
2006-07-01  40.238095238095240
2006-10-01  40.615868734547090
2007-01-01  41.142987249544625
2007-04-01  39.727556945064760
2007-07-01  40.715883668903800
2007-10-01  41.758747697974220
2008-01-01  42.989514752499390
2008-04-01  42.610837438423644
2008-07-01  41.883276115743016
2008-10-01  41.455618391935090
2009-01-01  41.866798712552610
2009-04-01  41.383585420282670
2009-07-01  41.759880686055180
2009-10-01  41.924918115394306
2010-01-01  41.419518377693280
2010-04-01  40.015282730514520
2010-07-01  39.944134078212290
2010-10-01  39.511458071014860
2011-01-01  38.348530901722390
2011-04-01  38.477054967221380
2011-07-01  38.571428571428580
2011-10-01  39.059356136820930
2012-01-01  38.575742325113240
2012-04-01  39.090227443139210
2012-07-01  39.340164958760310
2012-10-01  39.259075087021390
2013-01-01  37.445783132530120
2013-04-01  37.494089834515364
2013-07-01  37.599635618310180
2013-10-01  37.234280599686734
2014-01-01  36.733333333333334
2014-04-01  36.528780914861020
2014-07-01  36.867260482294160
2014-10-01  36.956521739130430
2015-01-01  36.131463261461164
2015-04-01  35.473043843087900
2015-07-01  35.897967648278720
2015-10-01  35.773366418527710
2016-01-01  35.320177204993960
2016-04-01  34.713057388522294
2016-07-01  34.675044178283920
2016-10-01  34.341085271317830
2017-01-01  34.067897558070280
2017-04-01  33.190327613104530
2017-07-01  34.328649492583920
2017-10-01  34.681181959564540
2018-01-01  34.533359420856975
2018-04-01  33.949645948072380
2018-07-01  34.093122930060396
