Title:               Total Quarterly Wages in Wilmington, NC (MSA)
Series ID:           ENUC489030010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.

DATE             VALUE
1990-01-01   374771212
1990-04-01   381913029
1990-07-01   390804939
1990-10-01   409128030
1991-01-01   399514981
1991-04-01   422797901
1991-07-01   411820931
1991-10-01   437377395
1992-01-01   417315463
1992-04-01   432048938
1992-07-01   443906966
1992-10-01   482770173
1993-01-01   430344746
1993-04-01   464844109
1993-07-01   473812755
1993-10-01   509820809
1994-01-01   470751109
1994-04-01   506673049
1994-07-01   514633908
1994-10-01   538791165
1995-01-01   519479717
1995-04-01   541864674
1995-07-01   546498665
1995-10-01   590054158
1996-01-01   580747640
1996-04-01   587727374
1996-07-01   592028801
1996-10-01   649885263
1997-01-01   623068200
1997-04-01   641400451
1997-07-01   653423103
1997-10-01   702358020
1998-01-01   654061998
1998-04-01   689388346
1998-07-01   700428998
1998-10-01   775628568
1999-01-01   699161012
1999-04-01   751729680
1999-07-01   793857622
1999-10-01   849451113
2000-01-01   780876688
2000-04-01   810600422
2000-07-01   797524264
2000-10-01   870585541
2001-01-01   855975067
2001-04-01   862976541
2001-07-01   839944893
2001-10-01   878929729
2002-01-01   829687698
2002-04-01   847652469
2002-07-01   837727878
2002-10-01   897153643
2003-01-01   828973886
2003-04-01   851924904
2003-07-01   870332050
2003-10-01   957466812
2004-01-01   877488007
2004-04-01   917338315
2004-07-01   951718511
2004-10-01  1048684713
2005-01-01   970302842
2005-04-01  1009351469
2005-07-01  1068505559
2005-10-01  1146579210
2006-01-01  1100637444
2006-04-01  1106697475
2006-07-01  1121659383
2006-10-01  1242011656
2007-01-01  1193051287
2007-04-01  1206977413
2007-07-01  1223363603
2007-10-01  1324828260
2008-01-01  1245228282
2008-04-01  1245317249
2008-07-01  1236054058
2008-10-01  1323728100
2009-01-01  1180439288
2009-04-01  1183035916
2009-07-01  1181531075
2009-10-01  1310597657
2010-01-01  1151595329
2010-04-01  1202115299
2010-07-01  1214605956
2010-10-01  1320774102
2011-01-01  1202271482
2011-04-01  1258412103
2011-07-01  1269875506
2011-10-01  1310031998
2012-01-01  1227815207
2012-04-01  1243237186
2012-07-01  1232232942
2012-10-01  1336281926
2013-01-01  1033942887
2013-04-01  1036853199
2013-07-01  1040815610
2013-10-01  1139376061
2014-01-01  1073880814
2014-04-01  1091169449
2014-07-01  1096706233
2014-10-01  1222736506
2015-01-01  1124332680
2015-04-01  1160790474
2015-07-01  1160010779
2015-10-01  1305789263
2016-01-01  1197092640
2016-04-01  1223539007
2016-07-01  1274503908
2016-10-01  1345549005
2017-01-01  1305885622
2017-04-01  1383334318
2017-07-01  1292274256
2017-10-01  1378933390
2018-01-01  1377716238
