Title:               Equifax Subprime Credit Population for Rowan County, NC
Series ID:           EQFXSUBPRIME037159
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  40.443588646412785
1999-04-01  40.653370505397100
1999-07-01  39.824156817526664
1999-10-01  40.653251676873720
2000-01-01  40.548224830502290
2000-04-01  39.770831822467190
2000-07-01  39.941591958706870
2000-10-01  38.315463118460144
2001-01-01  38.886411416194180
2001-04-01  38.151658767772510
2001-07-01  37.940446650124070
2001-10-01  38.495247500308610
2002-01-01  38.700441899545650
2002-04-01  38.471932195062030
2002-07-01  38.075698187163155
2002-10-01  38.363978396747380
2003-01-01  38.742644781666150
2003-04-01  38.617628408370320
2003-07-01  39.031266017426965
2003-10-01  39.489117685390326
2004-01-01  40.528548123980420
2004-04-01  39.406970027597716
2004-07-01  38.559377027903956
2004-10-01  39.209765499518150
2005-01-01  39.133226324237555
2005-04-01  38.580108730412540
2005-07-01  39.023907013604540
2005-10-01  39.668807029401826
2006-01-01  39.441885306095195
2006-04-01  39.421070346684616
2006-07-01  39.312457454050374
2006-10-01  39.056921522398110
2007-01-01  39.125151883353590
2007-04-01  37.787123908120350
2007-07-01  37.847087692109000
2007-10-01  38.793391746371480
2008-01-01  40.257909942921570
2008-04-01  40.338372930165590
2008-07-01  40.254054829912450
2008-10-01  39.870270270270270
2009-01-01  40.013111888111894
2009-04-01  39.573842762674500
2009-07-01  39.548926882502730
2009-10-01  39.526776442664290
2010-01-01  39.167851530344980
2010-04-01  38.319702602230485
2010-07-01  38.365199347858310
2010-10-01  37.986606814335120
2011-01-01  37.409003119893030
2011-04-01  37.377024927879280
2011-07-01  36.847946725860155
2011-10-01  37.069158878504670
2012-01-01  36.529407368657054
2012-04-01  36.675126903553300
2012-07-01  36.994478436054315
2012-10-01  37.308322167634360
2013-01-01  36.488269794721404
2013-04-01  35.409316725466200
2013-07-01  35.257787325456500
2013-10-01  35.301950862241160
2014-01-01  34.919899377730700
2014-04-01  34.552712518814220
2014-07-01  34.724117761746930
2014-10-01  34.799540347293160
2015-01-01  33.737155905112270
2015-04-01  33.912058879033780
2015-07-01  34.184960888216000
2015-10-01  34.287700669953230
2016-01-01  33.702742068266730
2016-04-01  32.793573087303080
2016-07-01  32.633112743609985
2016-10-01  32.907290729072905
2017-01-01  32.651351998085666
2017-04-01  32.439198855507870
2017-07-01  32.564962279966470
2017-10-01  32.462979752190996
2018-01-01  32.305165176127030
2018-04-01  32.281834236648194
2018-07-01  32.717805896954660
